ArtDerFestlegung_schluessel,ArtDerFestlegung_bezeichnung,AAA-Beschreibung,alias,StelleZustaendigeDienststelle,Name
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1585,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1588,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1590,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1596,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1619,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1624,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1628,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1630,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1633,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1679,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1692,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1696,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1699,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1714,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1734,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1751,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1756,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1762,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1767,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1768,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1769,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1780,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1799,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1802,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1814,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1820,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1822,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1833,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1841,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1854,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1858,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1859,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1868,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1895,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1907,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1910,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1919,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1922,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1930,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1947,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1948,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1949,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1962,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1967,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1980,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1983,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1987,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1994,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1995,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2029,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2038,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2046,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2051,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2061,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2075,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2119,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2125,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__2161,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2163,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2174,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2209,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2212,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2233,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2236,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2261,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2272,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2295,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2307,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2320,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2351,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2352,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2383,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2408,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2414,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2456,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2476,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__2482,,
1110,Bundesautobahn,AX_KlassifizierungNachStrassenrecht,F8__2490,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2497,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__2512,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__2515,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2527,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2532,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2537,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2538,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2547,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__2548,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2555,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__2561,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2564,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2571,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2589,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2593,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2613,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2620,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__2631,,
