ArtDerFestlegung_schluessel,ArtDerFestlegung_bezeichnung,AAA-Beschreibung,alias
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5603
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5614
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5649
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5651
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__5652
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__5653
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5659
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5666
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__5667
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__5668
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5677
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5706
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5711
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5718
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5720
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5737
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__5738
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__5739
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5746
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5747
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5753
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5766
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__5767
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__5768
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5772
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__5773
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__5774
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5785
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5828
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5834
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5842
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__5843
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__5844
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5850
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5921
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5936
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5955
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__5970
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6055
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6091
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6122
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6148
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__6149
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__6150
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6155
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6198
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6302
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6332
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6347
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6350
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6374
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6375
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6379
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6391
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6423
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6439
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__6440
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__6441
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6473
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6522
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6560
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6571
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6576
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6589
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6596
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6613
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6635
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6637
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6642
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__6643
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__6644
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6679
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6697
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6787
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6835
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__6836
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__6837
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6838
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6845
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6885
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6899
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6921
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6928
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__6929
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__6930
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6935
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6961
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6968
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6970
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6971
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6983
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__6986
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7005
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7022
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7033
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7041
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7050
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7051
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7062
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__7096
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__7097
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__7098
