Beschaffenheit_schluessel,Beschaffenheit_bezeichnung,AAA-Beschreibung,alias
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12726
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12730
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12738
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12740
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12744
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12765
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12768
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12775
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12776
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12778
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12781
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12797
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12803
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12816
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12820
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12824
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12836
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12839
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12840
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12842
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12843
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12859
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12866
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12867
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12872
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12873
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12876
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12878
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12884
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12900
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12903
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12905
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12912
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12923
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12932
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12938
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12939
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12950
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12952
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12956
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12959
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12961
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12967
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12977
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12979
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12981
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12989
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12993
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13005
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13011
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13014
