NAME,BEZIRK,BEZIRK_ALT,VERORDNUNG,INKRAFTTRETEN,GVBL_NUMMER,GVBL_SEITE,GVBL_DATUM,AUFGEHOBEN,A_GVBL_NUMMER,A_GVBL_SEITE,A_GVBL_DATUM,alias
Beusselstraße,Mitte,Tiergarten,10.VO,1994-12-04T00:00:00,64,472,1994-12-03T00:00:00,2007-02-21T00:00:00,3,22,2007-02-20T00:00:00,Beusselstraße
Stephankiez,Mitte,Tiergarten,11.VO,1995-11-10T00:00:00,64,711,1995-11-09T00:00:00,2007-02-21T00:00:00,3,22,2007-02-20T00:00:00,Stephankiez
