ID_ORIG,NAME,LAENGE,DTV,SLKW,LLKW,BUS,KRAD,N_BETROF,EM_NOX,EM_PM10,EM_PM25,GNO2_M,GPM10_M,GPM25_M,MB5_EMNOX,MB5_EM_PM1,MB5_EMPM25,MB5_GNO2,MB5_GPM10,MB5_GPM25,alias
11060,A100,1444.84,40509,2106,3403,41,203,0,6.47,1.17,0.68,15.17,23.93,16.05,-37.6,-9.57,-15.3,-16.28,-0.31,-0.63,10038
1882,Großer Stern,72.17,36726,808,2718,551,514,0,12.25,3.01,1.72,20.1,25.96,17.2,-34.16,-5.68,-9.54,-19.7,-0.61,-1.13,1664
1884,Großer Stern,125.36,36033,721,2666,504,504,0,11.25,2.56,1.47,19.8,25.9,17.16,-33.72,-6.32,-10.51,-19.37,-0.57,-1.08,1666
1888,Großer Stern,54.88,36297,871,2686,472,508,1,12.09,2.94,1.68,20.5,26.1,17.28,-34.18,-5.78,-9.7,-19.92,-0.64,-1.19,1670
1889,Großer Stern,101.68,36751,882,2720,478,515,0,12.12,3.01,1.72,19.09,25.56,16.97,-34.22,-5.68,-9.55,-19.08,-0.52,-1.01,1671
1891,Alt-Moabit,204.74,24223,557,1914,606,339,112,8.5,1.82,1.05,26.53,29.48,19.22,-35.12,-6.4,-10.63,-23.46,-1.34,-2.21,1673
1892,Alt-Moabit,209.72,24223,557,1914,606,339,84,8.5,1.82,1.05,24.7,28.64,18.72,-35.12,-6.4,-10.63,-22.4,-1.11,-1.87,1674
1894,Alt-Moabit,91.59,26279,631,2076,893,368,58,12.61,2.5,1.43,31.22,31.45,20.33,-35.42,-6.04,-10.07,-24.16,-1.52,-2.5,1675
1895,Alt-Moabit,100.85,26279,631,2076,893,368,47,12.61,2.5,1.43,27.48,29.67,19.31,-35.42,-6.04,-10.07,-23.28,-1.24,-2.06,1676
1896,Stromstr.,42.93,34284,617,2708,171,480,1,9.85,2.44,1.4,19.98,26.29,17.36,-32.34,-6.24,-10.4,-18.7,-0.48,-0.95,1677
1897,Stromstr.,80.42,34990,630,2764,455,490,24,11.03,2.67,1.53,21.59,27.43,18.02,-33.4,-6.02,-10.07,-20.39,-0.82,-1.43,1678
1898,Stromstr.,96.01,34990,630,2764,455,490,84,11.03,2.67,1.53,32.1,33.42,21.45,-33.4,-6.02,-10.07,-23.9,-1.81,-2.94,1679
1899,Stromstr.,76.53,34508,621,2726,449,483,46,10.85,2.5,1.44,28.71,31.2,20.18,-33.33,-6.33,-10.53,-23.04,-1.51,-2.49,1680
1901,Stromstr.,288.31,27553,579,2177,165,386,254,7.99,1.84,1.06,27.81,30.81,19.96,-32.92,-6.69,-11.07,-22.89,-1.57,-2.56,1681
1903,An der Putlitzbrücke,40.75,30664,889,2422,61,429,3,8.93,2.17,1.24,17.6,27.78,17.67,-33.7,-6.44,-10.71,-17.44,-0.44,-0.86,1682
1904,Ellen-Epstein-Str.,63.56,9019,361,731,72,126,1,2.91,0.66,0.38,17.69,26.11,17.19,-35.76,-6.56,-10.9,-15.69,-0.33,-0.69,1683
1905,Ellen-Epstein-Str.,114.29,9019,361,731,72,126,2,2.91,0.66,0.38,18.09,26.59,17.28,-35.76,-6.56,-10.9,-17.44,-0.43,-0.85,1684
1906,Ellen-Epstein-Str.,117.59,9019,361,731,72,126,4,2.91,0.66,0.38,18.41,26.35,17.38,-35.76,-6.56,-10.9,-16.33,-0.4,-0.79,1685
1911,Ellen-Epstein-Str.,97.47,9019,361,731,72,126,2,2.91,0.66,0.38,18.72,26.87,17.46,-35.76,-6.56,-10.9,-17.98,-0.49,-0.94,1690
1912,Ellen-Epstein-Str.,24.34,9019,361,731,72,126,1,2.91,0.66,0.38,17.62,26.24,17.17,-35.76,-6.56,-10.9,-16.39,-0.36,-0.74,1691
1913,Ellen-Epstein-Str.,96.81,9019,361,731,72,126,5,2.91,0.66,0.38,18.69,26.71,17.49,-35.76,-6.56,-10.9,-17.5,-0.48,-0.92,1692
1915,,280.02,10201,449,826,163,143,6,3.61,0.81,0.46,17.27,26.07,17.02,-36.75,-6.35,-10.58,-16.83,-0.35,-0.73,1693
1916,,29.23,10201,449,826,163,143,2,3.61,0.81,0.46,25.52,30.28,19.41,-36.75,-6.35,-10.58,-23.37,-1.22,-2.06,1694
1918,Nordufer,312.93,9820,246,737,10,98,12,2.99,0.64,0.37,16.8,28.25,17.64,-32.12,-7.19,-11.77,-17.13,-0.37,-0.76,1695
1925,Friedrich-Krause-Ufer,33.73,10920,131,808,33,109,2,2.92,0.65,0.37,17.37,28.45,19.12,-30.81,-6.96,-11.45,-16.03,-0.33,-0.66,1699
1927,Friedrich-Krause-Ufer,156.48,10920,131,808,33,109,22,2.92,0.65,0.37,17.41,25.94,17.14,-30.81,-6.96,-11.45,-15.91,-0.36,-0.72,1700
