ID_ORIG,NAME,LAENGE,DTV,SLKW,LLKW,BUS,KRAD,N_BETROF,EM_NOX,EM_PM10,EM_PM25,GNO2_M,GPM10_M,GPM25_M,MB4_EMNOX,MB4_EM_PM1,MB4_EMPM25,MB4_GNO2,MB4_GPM10,MB4_GPM25,alias
11060,A100,1444.84,40509,2106,3403,41,203,0,10.37,1.29,0.81,18.12,23.43,15.79,0,0,0,0,-2.39,-2.26,10038
1882,Großer Stern,72.17,36726,808,2718,551,514,0,18.61,3.19,1.9,25.03,25.42,16.95,0,0,0,0,-2.66,-2.55,1664
1884,Großer Stern,125.36,36033,721,2666,504,504,0,16.97,2.73,1.64,24.56,25.34,16.9,0,0,0,0,-2.74,-2.63,1666
1888,Großer Stern,54.88,36297,871,2686,472,508,1,18.37,3.12,1.86,25.6,25.58,17.05,0,0,0,0,-2.64,-2.53,1670
1889,Großer Stern,101.68,36751,882,2720,478,515,0,18.44,3.19,1.9,23.59,25.01,16.71,0,0,0,0,-2.66,-2.55,1671
1891,Alt-Moabit,204.74,24223,557,1914,606,339,112,13.1,1.95,1.17,34.66,29.14,19.18,0,0,0,0,-2.47,-2.41,1673
1892,Alt-Moabit,209.72,24223,557,1914,606,339,84,13.1,1.95,1.17,31.83,28.13,18.55,0,0,0,0,-2.86,-2.78,1674
1894,Alt-Moabit,91.59,26279,631,2076,893,368,58,19.52,2.66,1.59,41.17,31.08,20.3,0,0,0,0,-2.65,-2.61,1675
1895,Alt-Moabit,100.85,26279,631,2076,893,368,47,19.52,2.66,1.59,35.82,29.19,19.17,0,0,0,0,-2.82,-2.75,1676
1896,Stromstr.,42.93,34284,617,2708,171,480,1,14.56,2.61,1.56,24.58,25.5,16.94,0,0,0,0,-3.45,-3.34,1677
1897,Stromstr.,80.42,34990,630,2764,455,490,24,16.57,2.84,1.7,27.12,26.82,17.74,0,0,0,0,-3.04,-2.95,1678
1898,Stromstr.,96.01,34990,630,2764,455,490,84,16.57,2.84,1.7,42.19,33.22,21.57,0,0,0,0,-2.4,-2.37,1679
1899,Stromstr.,76.53,34508,621,2726,449,483,46,16.27,2.67,1.61,37.31,30.82,20.14,0,0,0,0,-2.72,-2.67,1680
1901,Stromstr.,288.31,27553,579,2177,165,386,254,11.91,1.97,1.19,36.07,30.5,19.97,0,0,0,0,-2.58,-2.53,1681
1903,An der Putlitzbrücke,40.75,30664,889,2422,61,429,3,13.47,2.32,1.39,21.32,27.21,17.38,0,0,0,0,-2.47,-2.48,1682
1904,Ellen-Epstein-Str.,63.56,9019,361,731,72,126,1,4.54,0.71,0.43,20.99,25.36,16.77,0,0,0,0,-3.2,-3.12,1683
1905,Ellen-Epstein-Str.,114.29,9019,361,731,72,126,2,4.54,0.71,0.43,21.92,26.02,16.98,0,0,0,0,-2.59,-2.55,1684
1906,Ellen-Epstein-Str.,117.59,9019,361,731,72,126,4,4.54,0.71,0.43,22.01,25.6,16.96,0,0,0,0,-3.24,-3.15,1685
1911,Ellen-Epstein-Str.,97.47,9019,361,731,72,126,2,4.54,0.71,0.43,22.83,26.28,17.17,0,0,0,0,-2.67,-2.63,1690
1912,Ellen-Epstein-Str.,24.34,9019,361,731,72,126,1,4.54,0.71,0.43,21.08,25.55,16.79,0,0,0,0,-2.99,-2.93,1691
