BZR_NAME,PRG_NAME,BEZIRK,FL_HA,alias
Tiergarten Süd,Zentrum,Mitte,516.41,Tiergarten Süd
Moabit West,Moabit,Mitte,432.93,Moabit West
Moabit Ost,Moabit,Mitte,391.23,Moabit Ost
Parkviertel,Wedding,Mitte,711.89,Parkviertel
Wedding Zentrum,Wedding,Mitte,249.14,Wedding Zentrum
Charlottenburg-Nord,Charlottenburg - Nord,Charlottenburg-Wilmersdorf,580.53,Charlottenburg-Nord
Mierendorffplatz,Charlottenburg,Charlottenburg-Wilmersdorf,188.99,Mierendorffplatz
Otto-Suhr-Allee,Charlottenburg,Charlottenburg-Wilmersdorf,276.4,Otto-Suhr-Allee
