OTEIL,BEZIRK,FLAECHE_HA,alias
Moabit,Mitte,768.7909,Moabit
Hansaviertel,Mitte,52.5337,Hansaviertel
Tiergarten,Mitte,516.0672,Tiergarten
Wedding,Mitte,919.9112,Wedding
Charlottenburg,Charlottenburg-Wilmersdorf,1042.1161,Charlottenburg
Charlottenburg-Nord,Charlottenburg-Wilmersdorf,617.6083,Charlottenburg-Nord
