OKSTRA_ID,ELEM_NR,STR_NAME,BEZIRK,STADTTEIL,STRKLASSE1,alias
653D74A09246472A80B9F94A819106CA,41560004_41550014.01,Turmstraße,Mitte,Moabit,III,Turmstraße
1FBEB7DB8A3D4130B996200B4652BF85,41550014_41550009.01,Turmstraße,Mitte,Moabit,III,Turmstraße
F0B14D3628744E8BBF02DFF3C38AD42D,41550009_42550026.01,Turmstraße,Mitte,Moabit,III,Turmstraße
990C93E94BFD45B1BA5D1B7B2AA6548D,42550026_42550014.01,Turmstraße,Mitte,Moabit,III,Turmstraße
307F602D979A489DA8002CCDCC991008,42550014_42550024.01,Turmstraße,Mitte,Moabit,III,Turmstraße
9E149BE57DC74A2B870D821854B4DFBB,42550024_42550013.01,Turmstraße,Mitte,Moabit,III,Turmstraße
C8362FB4976A4712911333E5DE324991,42550013_42550029.01,Turmstraße,Mitte,Moabit,III,Turmstraße
240EC2A0470F43B6B3954D320264C81A,42550028_42550025.01,Turmstraße,Mitte,Moabit,III,Turmstraße
DB7564124562446C962F914E049931CF,42550025_43550008.01,Turmstraße,Mitte,Moabit,III,Turmstraße
8AE2418510EE48D8859E05ED66B5E8A5,43550008_43550028.01,Turmstraße,Mitte,Moabit,III,Turmstraße
6FA53E18D5AD45CEB7D7ABECE7E3F211,40550002_40550003.01,Wiebestraße,Mitte,Moabit,IV,Wiebestraße
568F5962415749B280CABC3424785AC8,40550003_40560003.01,Wiebestraße,Mitte,Moabit,IV,Wiebestraße
00B3189781404311BDE710403ADB2031,40560003_40560006.01,Wiebestraße,Mitte,Moabit,IV,Wiebestraße
71A327BC81674DE390C4F05A2CA2747F,40560008_40550045.01,Lise-Meitner-Straße,Charlottenburg-Wilmersdorf,Charlottenburg,II,Lise-Meitner-Straße
94786002B3494EFFB7DB50D5ACEDE7CD,40560014_40560008.01,Lise-Meitner-Straße,Charlottenburg-Wilmersdorf,Charlottenburg,II,Lise-Meitner-Straße
A9648FCEA1CC4B66BC9E1EE8F1032ACD,40560016_40560014.01,Lise-Meitner-Straße,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,II,Lise-Meitner-Straße
291B509535B3415289641258378FF4F7,42540039_42540019.01,Straße des 17. Juni,Mitte,Tiergarten,I,Straße des 17. Juni
AB44417DC32E45088E5A612C33D8CC36,39570029_40570007.01,Heckerdamm,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,IV,Heckerdamm
99F281F35E2C40DBBA0C178285086DDF,40570007_40570003.01,Heckerdamm,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,IV,Heckerdamm
