B_LINK_ID,LAENGE,HS_EM_2009,SLKW,LLKW,KRAD,BUS,DTV,EM_NO2,EM_NOX,EM_PART,EM_PM10,EM_PM25,EM_BENZ,EM_CO,EM_CO2,EM_HC,EM_NM_HC,QUELLE,EINSTUFUNG,alias
2152,40,Helmholtzstr.,255,961,170,414,12164,1.8,9.51,0.24,1.08,0.69,0.43,34.43,2945.24,6.57,6.2,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2032
2153,106,Gotzkowskybrücke,436,2028,359,411,25670,2.95,15.84,0.47,2.08,1.34,0.94,73.61,5772.49,14.09,13.3,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2033
2154,272,Kaiserin-Augusta-A,678,1410,250,36,17846,1.7,10.33,0.33,1.5,0.96,0.65,50.79,3861.98,9.75,9.2,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2034
2155,156,Beusselstr.,532,1236,219,141,15642,1.66,9.73,0.29,1.33,0.85,0.56,44.47,3471.22,8.53,8.04,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2035
2156,26,Beusselstr.,534,1140,202,144,14434,1.57,9.25,0.28,1.25,0.8,0.52,40.93,3225.47,7.84,7.4,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2036
2157,166,Beusselstr.,534,1140,202,144,14434,1.57,9.25,0.28,1.25,0.8,0.52,40.93,3225.47,7.84,7.4,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2037
2158,167,Alt-Moabit,971,2256,400,171,28552,2.92,17.22,0.54,2.48,1.59,1.04,81.42,6317.79,15.63,14.74,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2038
2159,111,Altonaer Str.,374,1408,250,321,17822,2.13,11.58,0.33,1.48,0.95,0.65,50.92,4058.92,9.74,9.19,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2039
2160,152,Levetzowstr.,374,1408,250,321,17822,2.13,11.58,0.33,1.48,0.95,0.65,50.92,4058.92,9.74,9.19,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2040
2161,157,Levetzowstr.,374,1408,250,321,17822,2.13,11.58,0.33,1.48,0.95,0.65,50.92,4058.92,9.74,9.19,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2041
2162,75,Hansabrücke,374,1408,250,321,17822,2.13,11.58,0.33,1.48,0.95,0.65,50.92,4058.92,9.74,9.19,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2042
2163,150,Levetzowstr.,374,1408,250,321,17822,2.13,11.57,0.33,1.48,0.95,0.65,50.92,4057.78,9.74,9.19,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2043
2164,180,Levetzowstr.,374,1408,250,321,17822,2.13,11.57,0.33,1.48,0.95,0.65,50.92,4057.78,9.74,9.19,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,2044
2165,370,Huttenstr.,147,418,79,367,5648,1.16,6.02,0.12,0.59,0.37,0.19,15.76,1551.69,2.98,2.81,ergänzende Modellrechnung 2009 der Verkehrsmanagementzentrale (VMZ) Berlin,(weit) unterdurchschnittlich,2045
2166,131,Turmstr.,330,1304,231,859,16512,2.98,15.38,0.34,1.59,1.02,0.58,46.37,4285.35,8.81,8.31,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2046
2167,180,Beusselstr.,715,1712,303,650,21668,3.18,17.51,0.45,2.09,1.33,0.77,61.25,5313.36,11.66,11.01,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2047
2168,174,Gotzkowskystr.,78,481,91,377,6502,1.23,6.21,0.13,0.63,0.4,0.23,18.4,1722.69,3.49,3.29,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,(weit) unterdurchschnittlich,2048
2169,186,Turmstr.,330,1304,231,875,16512,3.06,15.75,0.35,1.65,1.05,0.58,46.55,4361,8.82,8.33,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2049
2170,143,Turmstr.,330,1304,231,875,16512,3.06,15.75,0.35,1.65,1.05,0.58,46.55,4361,8.82,8.33,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,überdurchschnittlich,2050
