AAA-Beschreibung,alias,Funktion_schluessel,Funktion_bezeichnung,Zustand_schluessel,Lagergut_schluessel,Lagergut_bezeichnung,Zustand_bezeichnung,Name,Bahnkategorie_schluessel,Bahnkategorie_bezeichnung
AX_Strassenverkehr,F14__86031,,,,,,,,,
AX_Strassenverkehr,F14__86058,,,,,,,,,
AX_Strassenverkehr,F14__86064,,,,,,,,,
AX_Strassenverkehr,F14__86067,,,,,,,,,
AX_Strassenverkehr,F14__86074,,,,,,,,,
AX_Strassenverkehr,F14__86075,,,,,,,,,
AX_Strassenverkehr,F14__86079,,,,,,,,,
AX_Strassenverkehr,F14__86090,,,,,,,,,
AX_Strassenverkehr,F14__86092,,,,,,,,,
AX_Strassenverkehr,F14__86099,,,,,,,,,
AX_Strassenverkehr,F14__86100,,,,,,,,,
AX_Strassenverkehr,F14__86104,,,,,,,,,
AX_Strassenverkehr,F14__86105,,,,,,,,,
AX_Strassenverkehr,F14__86107,,,,,,,,,
AX_Strassenverkehr,F14__86110,,,,,,,,,
AX_Strassenverkehr,F14__86119,2312,Verkehrsbegleitfläche Straße,,,,,,,
AX_Strassenverkehr,F14__86128,,,,,,,,,
AX_Strassenverkehr,F14__86129,,,,,,,,,
AX_Strassenverkehr,F14__86139,,,,,,,,,
AX_Strassenverkehr,F14__86145,,,,,,,,,
AX_Strassenverkehr,F14__86153,,,,,,,,,
AX_Strassenverkehr,F14__86165,,,,,,,,,
AX_Strassenverkehr,F14__86191,,,,,,,,,
AX_Strassenverkehr,F14__86201,,,,,,,,,
AX_Strassenverkehr,F14__86206,,,,,,,,,
AX_Strassenverkehr,F14__86209,,,,,,,,,
AX_Strassenverkehr,F14__86212,,,,,,,,,
AX_Strassenverkehr,F14__86217,,,,,,,,,
AX_Strassenverkehr,F14__86218,,,,,,,,,
AX_Strassenverkehr,F14__86220,,,,,,,,,
AX_Strassenverkehr,F14__86224,,,,,,,,,
AX_Strassenverkehr,F14__86225,,,,,,,,,
AX_Strassenverkehr,F14__86243,,,,,,,,,
AX_Strassenverkehr,F14__86245,,,,,,,,,
AX_Strassenverkehr,F14__86252,,,,,,,,,
