AAA-Beschreibung,alias,Funktion_schluessel,Funktion_bezeichnung,Zustand_schluessel,Lagergut_schluessel,Lagergut_bezeichnung,Zustand_bezeichnung,Name,Bahnkategorie_schluessel,Bahnkategorie_bezeichnung
AX_SportFreizeitUndErholungsflaeche,F14__50747,4001,Gebäude- und Freifläche Sport Freizeit und Erholung,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__50754,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53585,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53595,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53616,4100,Sportanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53618,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53632,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53641,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53678,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53684,4101,Gebäude- und Freifläche Erholung Sport,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53686,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53732,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53737,4440,Kleingarten,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53748,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53755,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53764,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53768,4470,Spielplatz Bolzplatz,,,,,Stephanplatz,,
AX_SportFreizeitUndErholungsflaeche,F14__53787,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53801,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53827,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53832,4120,Sportplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53834,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53841,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53843,4101,Gebäude- und Freifläche Erholung Sport,,,,,Unionplatz,,
AX_SportFreizeitUndErholungsflaeche,F14__53856,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53870,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53872,4101,Gebäude- und Freifläche Erholung Sport,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53874,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53887,4470,Spielplatz Bolzplatz,,,,,Ottoplatz,,
AX_SportFreizeitUndErholungsflaeche,F14__53908,4001,Gebäude- und Freifläche Sport Freizeit und Erholung,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53916,4120,Sportplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53942,4120,Sportplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53976,4470,Spielplatz Bolzplatz,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__53986,4470,Spielplatz Bolzplatz,,,,,,,
AX_Friedhof,F14__57750,,,,,,,,,
AX_Friedhof,F14__57924,,,,,,,Luisenkirchhof I,,
AX_Friedhof,F14__57973,,,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58318,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58346,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58381,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58427,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58451,4420,Park,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58469,4400,Grünanlage,,,,,,,
AX_SportFreizeitUndErholungsflaeche,F14__58504,4420,Park,,,,,,,
