AAA-Beschreibung,Beschreibung_schluessel,Bewuchs_bezeichnung,alias
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10690
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10703
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10717
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10732
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10737
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10743
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10747
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10782
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10783
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10786
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10795
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10796
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10800
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10809
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10814
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10816
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10828
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10830
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10838
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10840
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10846
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10847
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10854
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10855
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10866
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10874
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10879
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10894
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10900
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10908
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10910
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10922
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10931
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10940
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10954
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10959
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10961
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10969
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10971
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10972
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10975
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10990
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10993
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10997
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11000
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11001
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11010
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11017
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11020
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11021
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11024
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11031
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11034
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11038
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11041
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11044
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11045
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11048
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11050
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11052
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11054
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11060
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11061
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11062
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11066
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11068
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11081
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11082
