StandortNr,Kennzeich,NameNr,Art_Dtsch,Art_Bot,Gattung,ALK_Nr4st,StrName,HausNr,Pflanzjahr,Standalter,KroneDurch,Stammumfg,BaumHoehe,BEZIRK,Eigentuemer,alias,Zusatz
56/1,20203,Emdener Straße,DREIDORNIGER LEDERHÜLSENBAUM,GLEDITSIA TRIACANTHOS,GLEDITSIA,128,Emdener Straße,56,1988,28,7,38,10,Mitte,Land Berlin,F3__932102,
33/1,20236,Rostocker Straße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,33,Rostocker Straße,33,1999,17,2,28,7,Mitte,Land Berlin,F3__932103,
30/3,20236,Rostocker Straße,TROMPETENBAUM,CATALPA BIGNONIOIDES,CATALPA,29,Rostocker Straße,30,1965,51,11,120,18,Mitte,Land Berlin,F3__932104,
28/1,20236,Rostocker Straße,FÄCHERBLATTBAUM,GINKGO BILOBA,GINKGO,25,Rostocker Straße,28,1980,36,7,85,17,Mitte,Land Berlin,F3__932105,
43/1,20202,Waldstraße,ZIERKIRSCHE SPIRE',PRUNUS HILLIERI SPIRE',PRUNUS,248,Waldstraße,43,2007,9,2,24,6,Mitte,Land Berlin,F3__932106,
47/1,20202,Waldstraße,ZIERAPFEL EVERESTE',MALUS EVERESTE',MALUS,222,Waldstraße,47,2005,11,2,22,4.5,Mitte,Land Berlin,F3__932107,
47ggü/1,20202,Waldstraße,EINBLATTAKAZIE,ROBINIA PSEUDOACACIA UNIFOLIOLA',ROBINIA,68,Waldstraße,47,1993,23,4,35,7,Mitte,Land Berlin,F3__932108,ggü
54/1,20202,Waldstraße,SCHEIN-AKAZIE - SILBERREGEN,ROBINIA PSEUDOACACIA,ROBINIA,194,Waldstraße,54,1999,17,3,18,8,Mitte,Land Berlin,F3__932109,
12/1,20202,Waldstraße,SCHEIN-AKAZIE - SILBERREGEN,ROBINIA PSEUDOACACIA,ROBINIA,175,Waldstraße,12,1999,17,3.5,18,6,Mitte,Land Berlin,F3__932110,
32/1,20243,Essener Straße,ZWEIGRIFFLIGER WEISSDORN,CRATAEGUS LAEVIGATA,CRATAEGUS,64,Essener Straße,32,1970,46,2.5,55,4.5,Mitte,Land Berlin,F3__932111,064
31/1,20243,Essener Straße,ECHTER ROTDORN,CRATAEGUS LAEVIGATA PAUL'S SCARLET',CRATAEGUS,61,Essener Straße,31,1950,66,3,75,6.5,Mitte,Land Berlin,F3__932112,061
29a/2,20243,Essener Straße,ECHTER ROTDORN,CRATAEGUS LAEVIGATA PAUL'S SCARLET',CRATAEGUS,59,Essener Straße,29,1994,22,6,38,6.5,Mitte,Land Berlin,F3__932113,a
75/4,20478,Turmstraße -doppelt-,AMERIKANISCHE ROT-EICHE,QUERCUS RUBRA,QUERCUS,81,Turmstraße,75,1965,51,12,115,15,Mitte,Land Berlin,F3__932114,
73/2,20478,Turmstraße -doppelt-,SPITZ-AHORN,ACER PLATANOIDES,ACER,77,Turmstraße,73,1975,41,9,75,9,Mitte,Land Berlin,F3__932115,
46ggü/1,20478,Turmstraße -doppelt-,KUPFER-FELSENBIRNE,AMELANCHIER LAMARCKII,AMELANCHIER,307,Turmstraße,46,2006,10,,25,,Mitte,Land Berlin,F3__932116,ggü
80/1,20249,Alt-Moabit I,GROßBLÄTTRIGE LINDE - SOMMER-LINDE,TILIA PLATYPHYLLOS,TILIA,158,Alt-Moabit,80,1950,66,10,189,17,Mitte,Land Berlin,F3__932117,
41/1,20249,Alt-Moabit I,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,126,Alt-Moabit,41,1984,32,6,77,7,Mitte,Land Berlin,F3__932118,
78/1,20442,Sickingenstraße,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,61,Sickingenstraße,78,1980,36,11,90,17,Mitte,Land Berlin,F3__932119,
14-17/2,20442,Sickingenstraße,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,73,Sickingenstraße,14,1998,18,4,31,7,Mitte,Land Berlin,F3__932120,-17
5ggü/1,20202,Waldstraße,GEWÖHNLICHE ESCHE,FRAXINUS EXCELSIOR,FRAXINUS,255,Waldstraße,5,2007,9,2,24,6,Mitte,Land Berlin,F3__932121,ggü
