StandortNr,Kennzeich,NameNr,Art_Dtsch,Art_Bot,Gattung,ALK_Nr4st,StrName,HausNr,Pflanzjahr,Standalter,KroneDurch,Stammumfg,BaumHoehe,BEZIRK,Eigentuemer,alias,Zusatz
16,00005,Abbestraße,GEMEINE ROSSKASTANIE,AESCULUS HIPPOCASTANUM,AESCULUS,16,Abbestraße,19,1936,80,11,189,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__775802,
13,00094,Alt Lietzow,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,69,Alt-Lietzow,37,2001,15,5,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__775845,
40,00094,Alt Lietzow,WINTER-LINDE,TILIA CORDATA,TILIA,40,Alt-Lietzow,,1980,36,8,95,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__775846,
50,00094,Alt Lietzow,WINTER-LINDE,TILIA CORDATA,TILIA,50,Alt-Lietzow,,1977,39,5,135,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__775847,
55,00094,Alt Lietzow,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,55,Alt-Lietzow,,1987,29,9,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__775848,
58,00094,Alt Lietzow,WINTER-LINDE,TILIA CORDATA,TILIA,58,Alt-Lietzow,,1931,85,12,200,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__775849,
6,00094,Alt Lietzow,WINTER-LINDE,TILIA CORDATA,TILIA,6,Alt-Lietzow,19,1946,70,8,160,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__775850,
20,00252,Am Spreebord,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,20,Am Spreebord,,1976,40,12,175,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__775924,
25,00252,Am Spreebord,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,25,Am Spreebord,,1981,35,12,195,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__775925,
4,00252,Am Spreebord,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,4,Am Spreebord,,1986,30,8,130,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__775926,
11,00329,Arcostraße,BIRKEN-PAPPEL,POPULUS SIMONII,POPULUS,11,Arcostraße,19,1990,26,17,175,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__775943,
4,00329,Arcostraße,BIRKEN-PAPPEL,POPULUS SIMONII,POPULUS,4,Arcostraße,5,1979,37,13,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__775944,
21,00926,Darwinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,21,Darwinstraße,14,1985,31,9,120,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776570,
3,00926,Darwinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,11,Darwinstraße,15,1991,25,6,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776571,
7,00926,Darwinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,7,Darwinstraße,11,1979,37,11,130,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776572,
3,01009,Dovestraße,WINTER-LINDE,TILIA CORDATA,TILIA,3,Dovestraße,4,1953,63,12,160,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__776665,
10,01102,Einsteinufer,BAUM-HASEL - TÜRKISCHE HASEL,CORYLUS COLURNA,CORYLUS,16,Einsteinufer,59,2011,5,,25,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776726,
13,01102,Einsteinufer,ROBINIE PYRAMIDALIS',ROBINIA PSEUDOACACIA PYRAMIDALIS',ROBINIA,14,Einsteinufer,55,1992,24,3,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776727,
3,01102,Einsteinufer,SCHEIN-AKAZIE - SILBERREGEN,ROBINIA PSEUDOACACIA,ROBINIA,4,Einsteinufer,71,1979,37,8,130,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__776728,
10,01168,Englische Straße,WINTER-LINDE,TILIA CORDATA,TILIA,10,Englische Straße,6,1946,70,15,195,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__776760,
112,01351,Franklinstraße,APFEL,MALUS SPEC.,MALUS,82,Franklinstraße,,1995,21,5,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776872,
122,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,68,Franklinstraße,17,1984,32,10,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776873,
128,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,62,Franklinstraße,18,1991,25,6,55,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776874,
13,01351,Franklinstraße,APFEL,MALUS SPEC.,MALUS,167,Franklinstraße,2a,1995,21,3,25,3,Charlottenburg-Wilmersdorf,Land Berlin,F3__776875,
137,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,53,Franklinstraße,21,1987,29,6,85,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776876,
15,01351,Franklinstraße,APFEL,MALUS SPEC.,MALUS,164,Franklinstraße,2a,1993,23,4,40,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776877,
155,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,34,Franklinstraße,23-24,1984,32,12,115,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776878,
157,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,33,Franklinstraße,23-24,1991,25,6,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776879,
166,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,23,Franklinstraße,26,1991,25,6,50,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776880,
170,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,10,Franklinstraße,26,1991,25,5,50,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776881,
173,01351,Franklinstraße,APFEL,MALUS SPEC.,MALUS,21,Franklinstraße,26,1995,21,5,40,3,Charlottenburg-Wilmersdorf,Land Berlin,F3__776882,
175,01351,Franklinstraße,APFEL,MALUS SPEC.,MALUS,18,Franklinstraße,26,1995,21,3,35,3,Charlottenburg-Wilmersdorf,Land Berlin,F3__776883,
179,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,12,Franklinstraße,26,1984,32,8,100,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776884,
19,01351,Franklinstraße,APFEL,MALUS SPEC.,MALUS,158,Franklinstraße,4a,1995,21,3,35,3,Charlottenburg-Wilmersdorf,Land Berlin,F3__776885,
2,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,174,Franklinstraße,2,1991,25,5,60,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776886,
21,01351,Franklinstraße,APFEL,MALUS SPEC.,MALUS,154,Franklinstraße,4a,1995,21,3,25,3,Charlottenburg-Wilmersdorf,Land Berlin,F3__776887,
24,01351,Franklinstraße,BIRKEN-PAPPEL,POPULUS SIMONII,POPULUS,148,Franklinstraße,5-6,1970,46,8,200,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776888,
27,01351,Franklinstraße,BIRKEN-PAPPEL,POPULUS SIMONII,POPULUS,137,Franklinstraße,5-6,1964,52,9,220,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776889,
4,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,168,Franklinstraße,2-4a,1934,82,16,185,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__776890,
6,01351,Franklinstraße,WINTER-LINDE,TILIA CORDATA,TILIA,191,Franklinstraße,2-4,2010,6,,30,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776891,
65,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,97,Franklinstraße,12-14,1991,25,6,45,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776892,
66,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,96,Franklinstraße,15-15a,1991,25,5,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776893,
75,01351,Franklinstraße,APFEL,MALUS SPEC.,MALUS,181,Franklinstraße,8,1995,21,3,25,3,Charlottenburg-Wilmersdorf,Land Berlin,F3__776894,
79,01351,Franklinstraße,APFEL,MALUS SPEC.,MALUS,183,Franklinstraße,10,1995,21,3,30,3,Charlottenburg-Wilmersdorf,Land Berlin,F3__776895,
8,01351,Franklinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,155,Franklinstraße,2-4,1934,82,17,190,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__776896,
94,01351,Franklinstraße,SANDBIRKE WEISS-BIRKE,BETULA PENDULA,BETULA,104,Franklinstraße,12-13,1958,58,8,120,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__776897,
16,01361,Fraunhoferstr.,SPITZ-AHORN EMERALD QUEEN',ACER PLATANOIDES EMERALD QUEEN',ACER,16,Fraunhoferstraße,,2003,13,4,50,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776911,
18,01361,Fraunhoferstr.,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,18,Fraunhoferstraße,,1978,38,5,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776912,
29,01361,Fraunhoferstr.,SPITZ-AHORN,ACER PLATANOIDES,ACER,29,Fraunhoferstraße,,1950,66,7,150,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776913,
34,01361,Fraunhoferstr.,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,35,Fraunhoferstraße,,1987,29,7,85,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776914,
38,01361,Fraunhoferstr.,SPITZ-AHORN,ACER PLATANOIDES,ACER,39,Fraunhoferstraße,,1978,38,9,125,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776915,
43,01361,Fraunhoferstr.,SPITZ-AHORN,ACER PLATANOIDES,ACER,44,Fraunhoferstraße,,1978,38,10,125,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776916,
7,01361,Fraunhoferstr.,SPITZ-AHORN,ACER PLATANOIDES,ACER,7,Fraunhoferstraße,,1978,38,9,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776917,
110,01449,Friedrich-Olbricht-Damm,WINTER-LINDE,TILIA CORDATA,TILIA,16,Friedrich-Olbricht-Damm,8,1970,46,8,170,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777006,
114,01449,Friedrich-Olbricht-Damm,WINTER-LINDE,TILIA CORDATA,TILIA,20,Friedrich-Olbricht-Damm,12,1992,24,5,60,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777007,
117,01449,Friedrich-Olbricht-Damm,WINTER-LINDE,TILIA CORDATA,TILIA,23,Friedrich-Olbricht-Damm,14,1992,24,6,65,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777008,
118,01449,Friedrich-Olbricht-Damm,WINTER-LINDE,TILIA CORDATA,TILIA,24,Friedrich-Olbricht-Damm,14,1988,28,8,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777009,
125,01449,Friedrich-Olbricht-Damm,WINTER-LINDE,TILIA CORDATA,TILIA,29,Friedrich-Olbricht-Damm,18,1953,63,9,145,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777010,
148,01449,Friedrich-Olbricht-Damm,WINTER-LINDE,TILIA CORDATA,TILIA,182,Friedrich-Olbricht-Damm,40,1980,36,,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777011,
151,01449,Friedrich-Olbricht-Damm,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,179,Friedrich-Olbricht-Damm,40,1980,36,9,150,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777012,
214,01449,Friedrich-Olbricht-Damm,SCHEIN-AKAZIE - SILBERREGEN,ROBINIA PSEUDOACACIA,ROBINIA,190,Friedrich-Olbricht-Damm,11,1986,30,7,100,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777020,
221,01449,Friedrich-Olbricht-Damm,SCHEIN-AKAZIE - SILBERREGEN,ROBINIA PSEUDOACACIA,ROBINIA,197,Friedrich-Olbricht-Damm,11,1986,30,11,160,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777021,
223,01449,Friedrich-Olbricht-Damm,SPITZ-AHORN,ACER PLATANOIDES,ACER,199,Friedrich-Olbricht-Damm,11,1986,30,5,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777022,
227,01449,Friedrich-Olbricht-Damm,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,203,Friedrich-Olbricht-Damm,11,1986,30,7,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777023,
234,01449,Friedrich-Olbricht-Damm,WINTER-LINDE,TILIA CORDATA,TILIA,210,Friedrich-Olbricht-Damm,11,1986,30,4,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777024,
245,01449,Friedrich-Olbricht-Damm,WINTER-LINDE,TILIA CORDATA,TILIA,220,Friedrich-Olbricht-Damm,11,1986,30,6,80,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777026,
248,01449,Friedrich-Olbricht-Damm,WINTER-LINDE,TILIA CORDATA,TILIA,223,Friedrich-Olbricht-Damm,11,1986,30,5,65,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777027,
257,01449,Friedrich-Olbricht-Damm,SPITZ-AHORN,ACER PLATANOIDES,ACER,232,Friedrich-Olbricht-Damm,11,1986,30,5,40,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777028,
260,01449,Friedrich-Olbricht-Damm,SPITZ-AHORN,ACER PLATANOIDES,ACER,235,Friedrich-Olbricht-Damm,11,1986,30,5,45,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777029,
266,01449,Friedrich-Olbricht-Damm,SPITZ-AHORN,ACER PLATANOIDES,ACER,240,Friedrich-Olbricht-Damm,11,1986,30,6,60,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777030,
279,01449,Friedrich-Olbricht-Damm,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,252,Friedrich-Olbricht-Damm,11,1986,30,8,80,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777031,
286,01449,Friedrich-Olbricht-Damm,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,259,Friedrich-Olbricht-Damm,11,1986,30,8,65,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777032,
70,01449,Friedrich-Olbricht-Damm,SPITZ-AHORN EMERALD QUEEN',ACER PLATANOIDES EMERALD QUEEN',ACER,165,Friedrich-Olbricht-Damm,17,1985,31,9,100,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777037,
71,01449,Friedrich-Olbricht-Damm,SCHWARZ-AHORN FAASSEN'S BLACK',ACER PLATANOIDES FAASSEN'S BLACK',ACER,166,Friedrich-Olbricht-Damm,17,1985,31,9,80,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777038,
86,01449,Friedrich-Olbricht-Damm,WINTER-LINDE,TILIA CORDATA,TILIA,10,Friedrich-Olbricht-Damm,,1988,28,9,90,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777039,
13,01468,Galvanistraße,WINTER-LINDE,TILIA CORDATA,TILIA,11,Galvanistraße,,1934,82,15,225,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__777040,
33,01468,Galvanistraße,SILBER-LINDE,TILIA TOMENTOSA,TILIA,31,Galvanistraße,,1947,69,15,200,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777041,
36,01468,Galvanistraße,WINTER-LINDE,TILIA CORDATA,TILIA,34,Galvanistraße,,1954,62,12,170,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777042,
41,01468,Galvanistraße,WINTER-LINDE,TILIA CORDATA,TILIA,39,Galvanistraße,,1978,38,10,135,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777043,
7,01468,Galvanistraße,WINTER-LINDE,TILIA CORDATA,TILIA,5,Galvanistraße,,1954,62,9,150,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777044,
27,01484,Gaußstraße,SANDBIRKE WEISS-BIRKE,BETULA PENDULA,BETULA,26,Gaußstraße,14,1984,32,7,75,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777056,
10,01632,Goslarer Ufer,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,160,Goslarer Ufer,,1994,22,5,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777141,
122,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,64,Goslarer Ufer,,1996,20,5,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777142,
157,01632,Goslarer Ufer,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,29,Goslarer Ufer,,1994,22,5,65,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777143,
173,01632,Goslarer Ufer,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,12,Goslarer Ufer,,1994,22,6,100,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777144,
21,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,149,Goslarer Ufer,,1991,25,6,85,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777145,
24,01632,Goslarer Ufer,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,144,Goslarer Ufer,,1994,22,5,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777146,
28,01632,Goslarer Ufer,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,140,Goslarer Ufer,,1994,22,7,95,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777147,
4,01632,Goslarer Ufer,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,166,Goslarer Ufer,,1984,32,6,85,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777148,
47,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,129,Goslarer Ufer,,1994,22,5,75,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777149,
48,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,128,Goslarer Ufer,ggü. 29,1953,63,6,170,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777150,
49,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,127,Goslarer Ufer,,2002,14,5,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777151,
52,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,181,Goslarer Ufer,,2002,14,5,40,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777152,
54,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,180,Goslarer Ufer,,2002,14,5,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777153,
6,01632,Goslarer Ufer,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,164,Goslarer Ufer,,1994,22,5,70,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777154,
71,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,173,Goslarer Ufer,,2002,14,5,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777155,
74,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,112,Goslarer Ufer,,1953,63,10,160,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777156,
79,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,107,Goslarer Ufer,,1953,63,10,180,10,Charlottenburg-Wilmersdorf,Land Berlin,F3__777157,
83,01632,Goslarer Ufer,SPITZ-AHORN,ACER PLATANOIDES,ACER,103,Goslarer Ufer,,1977,39,17,150,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777158,
91,01632,Goslarer Ufer,SPITZ-AHORN,ACER PLATANOIDES,ACER,95,Goslarer Ufer,,1980,36,13,125,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777159,
95,01632,Goslarer Ufer,WINTER-LINDE,TILIA CORDATA,TILIA,91,Goslarer Ufer,,1940,76,15,210,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__777160,
97,01632,Goslarer Ufer,WINTER - LINDE GREENSPIRE',TILIA CORDATA GREENSPIRE',TILIA,89,Goslarer Ufer,,1996,20,5,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777161,
21,01741,Guerickestraße,GEWÖHNLICHE ESCHE,FRAXINUS EXCELSIOR,FRAXINUS,84,Guerickestraße,,2000,16,8,85,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777215,
24,01741,Guerickestraße,SPITZ-AHORN EMERALD QUEEN',ACER PLATANOIDES EMERALD QUEEN',ACER,79,Guerickestraße,,2004,12,2,30,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777216,
24/C,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,82,Guerickestraße,15,2004,12,5,65,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777217,
26,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,26,Guerickestraße,,1951,65,11,155,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777218,
39,01741,Guerickestraße,SPITZ-AHORN EMERALD QUEEN',ACER PLATANOIDES EMERALD QUEEN',ACER,92,Guerickestraße,19-23,2006,10,4,75,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777219,
52,01741,Guerickestraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,52,Guerickestraße,,1990,26,5,60,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777220,
22,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,90,Gutenbergstraße,,2004,12,4,55,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777225,
3,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,30,Gutenbergstraße,,1970,46,16,190,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777226,
36,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,75,Gutenbergstraße,,2004,12,7,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777227,
66,01758,Gutenbergstraße,JAPANISCHER SCHNURBAUM - PAGODENBAUM,SOPHORA JAPONICA,SOPHORA,40,Gutenbergstraße,,1977,39,15,170,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777228,
18,01804,Hallerstraße,WINTER-LINDE,TILIA CORDATA,TILIA,18,Hallerstraße,28,1960,56,13,135,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__777248,
10,01929,Helmholtzstraße,WINTER-LINDE,TILIA CORDATA,TILIA,10,Helmholtzstraße,2-9,1985,31,9,100,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777532,
12,01929,Helmholtzstraße,WINTER-LINDE,TILIA CORDATA,TILIA,12,Helmholtzstraße,2-9,1978,38,14,175,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777533,
13,01929,Helmholtzstraße,WINTER-LINDE,TILIA CORDATA,TILIA,13,Helmholtzstraße,9,1985,31,9,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777534,
23,01929,Helmholtzstraße,KAISER-LINDE,TILIA INTERMEDIA PALLIDA',TILIA,23,Helmholtzstraße,18,1984,32,5,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777535,
42,01929,Helmholtzstraße,WINTER-LINDE,TILIA CORDATA,TILIA,42,Helmholtzstraße,34,1978,38,11,120,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777536,
47,01929,Helmholtzstraße,WINTER-LINDE,TILIA CORDATA,TILIA,47,Helmholtzstraße,40,1980,36,9,130,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777537,
6,01929,Helmholtzstraße,WINTER-LINDE,TILIA CORDATA,TILIA,6,Helmholtzstraße,2-9,1985,31,9,110,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777538,
22,02143,Ilsenburger Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,4,Ilsenburger Straße,10A,1998,18,7,90,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777827,
27,02143,Ilsenburger Straße,SPITZ-AHORN,ACER PLATANOIDES,ACER,9,Ilsenburger Straße,13,1998,18,5,75,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777828,
32,02143,Ilsenburger Straße,SCHMALBLÄTTRIGE ESCHE PURPUR-ESCHE,FRAXINUS ANGUSTIFOLIA RAYWOOD',FRAXINUS,51,Ilsenburger Straße,15,2005,11,4,50,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__777829,
35/C,02143,Ilsenburger Straße,ECHTER ROTDORN,CRATAEGUS LAEVIGATA PAUL'S SCARLET',CRATAEGUS,20,Ilsenburger Straße,17,1950,66,9,140,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777830,
35/D,02143,Ilsenburger Straße,SANDBIRKE WEISS-BIRKE,BETULA PENDULA,BETULA,21,Ilsenburger Straße,17,1942,74,8,170,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777831,
10,02289,Kaiserin-Augusta-Allee,SPITZ-AHORN,ACER PLATANOIDES,ACER,5044,Kaiserin-Augusta-Allee,,1985,31,15,140,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777961,
33,02289,Kaiserin-Augusta-Allee,SPITZ-AHORN,ACER PLATANOIDES,ACER,5000,Kaiserin-Augusta-Allee,31,1978,38,10,120,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777962,
42,02289,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,5009,Kaiserin-Augusta-Allee,35,1966,50,16,220,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777963,
45,02289,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,5012,Kaiserin-Augusta-Allee,37,1992,24,14,150,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777964,
47,02289,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,5014,Kaiserin-Augusta-Allee,38,1971,45,13,200,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__777965,
49,02289,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,5016,Kaiserin-Augusta-Allee,40,1964,52,18,240,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__777966,
50,02289,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,5017,Kaiserin-Augusta-Allee,40,1961,55,18,240,25,Charlottenburg-Wilmersdorf,Land Berlin,F3__777967,
59,02289,Kaiserin-Augusta-Allee,SPITZ-AHORN,ACER PLATANOIDES,ACER,5025,Kaiserin-Augusta-Allee,44,1988,28,12,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__777968,
