BEZ_NAME,BEZ_ANZAHL,BEZ_GLEISTUNG,BEZ_GLEW2013,BEZ_EW2013,alias
Mitte,119,4249.83,0.01,348079,01
Charlottenburg-Wilmersdorf,148,2562.2,0.0079,322873,04
