Bewuchs_schluessel,Bewuchs_bezeichnung,Beschreibung_schluessel,Beschreibung_bezeichnung,AAA-Beschreibung,alias,Funktion_schluessel,Funktion_bezeichnung,Name
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5575,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5577,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5581,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5584,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5589,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5590,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5593,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5594,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5595,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5597,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5599,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5601,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5606,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5609,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5610,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5611,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5612,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5614,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5615,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5617,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5623,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5625,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5627,,,
