ID_ORIG,NAME,LAENGE,DTV,SLKW,LLKW,BUS,KRAD,N_BETROF,EM_NOX,EM_PM10,EM_PM25,GNO2_M,GPM10_M,GPM25_M,MB1_EMNOX,MB1_EM_PM1,MB1_EMPM25,MB1_GNO2,MB1_GPM10,MB1_GPM25,alias
11060,A100,1444.84,40509,2106,3403,41,203,0,9.95,1.25,0.76,17.64,23.8,16.02,-4.07,-3.24,-5.19,-2.65,-0.87,-0.83,10038
1882,Großer Stern,72.17,36726,808,2718,551,514,0,16.75,3.04,1.75,23.97,25.8,17.16,-9.98,-4.59,-7.71,-4.22,-1.23,-1.37,1664
1884,Großer Stern,125.36,36033,721,2666,504,504,0,15.3,2.59,1.5,23.54,25.73,17.12,-9.83,-5.02,-8.35,-4.13,-1.23,-1.35,1666
1888,Großer Stern,54.88,36297,871,2686,472,508,1,16.55,2.98,1.71,24.5,25.94,17.24,-9.92,-4.66,-7.82,-4.3,-1.27,-1.42,1670
1889,Großer Stern,101.68,36751,882,2720,478,515,0,16.6,3.05,1.75,22.64,25.39,16.93,-9.93,-4.57,-7.69,-4.04,-1.18,-1.29,1671
1891,Alt-Moabit,204.74,24223,557,1914,606,339,112,11.69,1.84,1.07,32.64,29.38,19.23,-10.74,-5.26,-8.73,-5.82,-1.69,-2.17,1673
1892,Alt-Moabit,209.72,24223,557,1914,606,339,84,11.69,1.84,1.07,30.11,28.52,18.71,-10.74,-5.26,-8.73,-5.42,-1.53,-1.91,1674
1894,Alt-Moabit,91.59,26279,631,2076,893,368,58,17.36,2.52,1.45,38.69,31.33,20.33,-11.1,-5.28,-8.81,-6.01,-1.88,-2.5,1675
1895,Alt-Moabit,100.85,26279,631,2076,893,368,47,17.36,2.52,1.45,33.77,29.54,19.29,-11.1,-5.28,-8.81,-5.73,-1.67,-2.13,1676
1896,Stromstr.,42.93,34284,617,2708,171,480,1,13.25,2.48,1.44,23.67,26.11,17.31,-8.97,-4.82,-8.03,-3.7,-1.15,-1.23,1677
1897,Stromstr.,80.42,34990,630,2764,455,490,24,14.97,2.71,1.56,25.88,27.3,18,-9.68,-4.79,-8,-4.56,-1.3,-1.53,1678
1898,Stromstr.,96.01,34990,630,2764,455,490,84,14.97,2.71,1.56,39.72,33.37,21.51,-9.68,-4.79,-8,-5.86,-1.95,-2.65,1679
1899,Stromstr.,76.53,34508,621,2726,449,483,46,14.7,2.54,1.47,35.23,31.12,20.21,-9.68,-5.02,-8.35,-5.57,-1.78,-2.34,1680
1901,Stromstr.,288.31,27553,579,2177,165,386,254,10.81,1.87,1.09,34.08,30.75,20.01,-9.29,-5.17,-8.56,-5.52,-1.76,-2.31,1681
1903,An der Putlitzbrücke,40.75,30664,889,2422,61,429,3,13.04,2.28,1.35,20.73,27.65,17.66,-3.18,-1.78,-2.97,-2.76,-0.88,-0.91,1682
1904,Ellen-Epstein-Str.,63.56,9019,361,731,72,126,1,4.06,0.67,0.39,20.37,25.94,17.14,-10.47,-5.23,-8.69,-2.93,-0.99,-0.98,1683
1905,Ellen-Epstein-Str.,114.29,9019,361,731,72,126,2,4.06,0.67,0.39,21.17,26.45,17.25,-10.47,-5.23,-8.69,-3.4,-0.96,-1.03,1684
1906,Ellen-Epstein-Str.,117.59,9019,361,731,72,126,4,4.06,0.67,0.39,21.3,26.17,17.33,-10.47,-5.23,-8.69,-3.21,-1.05,-1.07,1685
1911,Ellen-Epstein-Str.,97.47,9019,361,731,72,126,2,4.06,0.67,0.39,21.99,26.72,17.43,-10.47,-5.23,-8.69,-3.65,-1.04,-1.12,1690
1912,Ellen-Epstein-Str.,24.34,9019,361,731,72,126,1,4.06,0.67,0.39,20.43,26.08,17.13,-10.47,-5.23,-8.69,-3.09,-0.97,-0.99,1691
1913,Ellen-Epstein-Str.,96.81,9019,361,731,72,126,5,4.06,0.67,0.39,21.86,26.55,17.45,-10.47,-5.23,-8.69,-3.55,-1.07,-1.13,1692
1915,,280.02,10201,449,826,163,143,6,5.08,0.82,0.47,20.11,25.94,16.99,-11.08,-5.19,-8.65,-3.17,-0.88,-0.93,1693
1916,,29.23,10201,449,826,163,143,2,5.08,0.82,0.47,31.41,30.19,19.43,-11.08,-5.19,-8.65,-5.71,-1.52,-1.97,1694
1918,Nordufer,312.93,9820,246,737,10,98,12,4.27,0.67,0.4,19.72,28.12,17.62,-3.08,-1.89,-3.09,-2.72,-0.82,-0.86,1695
1925,Friedrich-Krause-Ufer,33.73,10920,131,808,33,109,2,4.09,0.69,0.41,20.12,28.3,19.09,-2.98,-1.93,-3.18,-2.72,-0.86,-0.83,1699
1927,Friedrich-Krause-Ufer,156.48,10920,131,808,33,109,22,4.09,0.69,0.41,20.15,25.79,17.1,-2.98,-1.93,-3.18,-2.71,-0.95,-0.93,1700
1929,Friedrich-Krause-Ufer,43.6,10920,131,808,33,109,2,4.09,0.69,0.41,26.42,29.74,18.82,-2.98,-1.93,-3.18,-2.77,-0.96,-1.06,1702
1930,Friedrich-Krause-Ufer,157.57,10920,131,808,33,109,60,4.09,0.69,0.41,21.87,26.44,17.39,-2.98,-1.93,-3.18,-2.65,-0.9,-0.92,1703
1944,Alt-Moabit,76.82,23855,549,1885,620,334,53,11.62,1.83,1.06,28.31,27.73,18.27,-10.79,-5.26,-8.74,-5.41,-1.48,-1.82,1716
2120,Otto-Suhr-Allee,34.71,32761,688,2588,688,459,7,15.32,2.6,1.5,20.84,25,16.69,-10.4,-4.93,-8.24,-3.7,-1.09,-1.15,1881
2121,Otto-Suhr-Allee,267.79,32761,688,2588,688,459,270,15.32,2.6,1.5,34.28,30.22,19.71,-10.4,-4.93,-8.24,-5.81,-1.77,-2.3,1882
4260,A100,199.29,31555,1262,2651,32,158,0,7.27,0.91,0.56,19.95,24.87,16.55,-3.88,-3.34,-5.32,-2.67,-0.85,-0.85,3811
4261,A100,203.81,29850,1194,2507,30,149,0,6.88,0.86,0.53,19.68,24.78,16.51,-3.88,-3.35,-5.34,-2.66,-0.84,-0.84,3812
4479,Goerdelerdammbrücke,23.4,29109,931,2271,437,291,0,15.41,2.3,1.38,22.38,25.23,16.78,-2.68,-1.69,-2.79,-2.71,-0.9,-0.93,4003
4480,Goerdelerdammbrücke,21.9,29109,902,2358,553,408,0,16.08,2.34,1.4,22.45,25.3,16.82,-2.56,-1.67,-2.76,-2.73,-0.9,-0.94,4004
4483,Putlitzstr.,197.71,30664,644,2422,184,429,171,12.08,2.15,1.25,28.24,28.67,18.75,-9.28,-5.03,-8.35,-5,-1.43,-1.8,4007
4484,Putlitzstr.,56.68,30664,644,2422,184,429,7,12.08,2.15,1.25,19.87,25.62,16.92,-9.28,-5.03,-8.35,-3.44,-0.94,-1,4008
4485,Marchbrücke,68.03,11298,452,893,90,158,0,4.93,0.81,0.47,20.2,24.81,16.58,-10.49,-5.31,-8.8,-3.17,-1.1,-1.1,4009
4525,Ellen-Epstein-Str.,108.93,4689,188,380,75,66,4,2.18,0.34,0.19,20.78,26.11,17.11,-11.08,-5.43,-9,-3.5,-0.94,-1.01,4044
4526,Ellen-Epstein-Str.,33.81,4689,188,380,75,66,3,2.18,0.34,0.19,24.86,27.63,17.96,-11.08,-5.43,-9,-4.67,-1.18,-1.4,4045
4592,Birkenstr.,108.06,5658,57,419,17,57,76,1.65,0.23,0.14,20.14,25.38,16.84,-8.09,-6.39,-10.21,-3.34,-0.97,-1.03,4104
4594,Birkenstr.,112.4,5658,17,419,17,57,90,1.56,0.22,0.13,20.74,25.52,16.94,-7.47,-6.46,-10.28,-3.41,-1.01,-1.09,4105
5810,Sömmeringstr.,63.71,12364,309,977,532,173,13,6.88,1.01,0.58,21.8,25.19,16.8,-11.66,-5.35,-8.91,-3.85,-1.13,-1.2,5179
5811,Sömmeringstr.,171.51,12364,309,977,532,173,143,6.88,1.01,0.58,28.9,27.52,18.15,-11.66,-5.35,-8.91,-5.54,-1.51,-1.84,5180
5812,Sömmeringstr.,228.96,12364,309,977,532,173,33,6.88,1.01,0.58,20.59,24.83,16.59,-11.66,-5.35,-8.91,-3.66,-1.08,-1.13,5181
5826,Sömmeringstr.,90.7,12513,313,989,526,175,80,7,1.05,0.61,26.36,26.66,17.66,-11.64,-5.23,-8.72,-5.27,-1.39,-1.65,5194
5831,Lise-Meitner-Str.,122.45,16841,505,1364,522,236,66,9.19,1.52,0.87,26.19,26.83,17.75,-11.31,-4.87,-8.17,-5.11,-1.38,-1.63,5198
5832,Lise-Meitner-Str.,195.66,16841,505,1364,522,236,37,9.19,1.52,0.87,21.47,25.09,16.75,-11.31,-4.87,-8.17,-3.97,-1.13,-1.2,5199
5833,Gaußstr.,84.96,19432,1477,1574,97,272,1,11.69,2.12,1.21,20.14,24.62,16.48,-11.45,-4.52,-7.66,-3.34,-1.04,-1.05,5200
5834,Gaußstr.,79.46,19432,1477,1574,97,272,22,11.69,2.12,1.21,23.84,26.23,17.4,-11.45,-4.52,-7.66,-4.72,-1.26,-1.43,5201
5835,Gaußstr.,196.69,19432,1477,1574,97,272,5,11.69,2.12,1.21,19.09,24.47,16.39,-11.45,-4.52,-7.66,-3.14,-1.02,-1.01,5202
5836,Lise-Meitner-Str.,83.56,9623,346,779,269,135,33,5.1,0.79,0.46,22.68,25.39,16.93,-11.38,-5.25,-8.75,-4.33,-1.18,-1.3,5203
5837,Lise-Meitner-Str.,174.69,9623,346,779,269,135,22,5.1,0.79,0.46,19.83,24.43,16.38,-11.38,-5.25,-8.75,-3.21,-1.01,-1.01,5204
5917,Otto-Suhr-Allee,350.24,29337,616,2318,704,411,271,13.94,2.27,1.31,30.8,28.64,18.8,-10.59,-5.11,-8.51,-5.51,-1.6,-2.01,5277
5923,Cauerstr.,83.02,16550,348,1307,232,232,19,7.2,1.26,0.73,22.83,25.67,17.07,-9.95,-4.9,-8.18,-4.02,-1.16,-1.29,5283
5924,Cauerstr.,260.99,16550,348,1307,232,232,204,7.2,1.26,0.73,30.66,28.86,18.93,-9.95,-4.9,-8.18,-5.4,-1.61,-2.03,5284
5941,Dovestr.,75.89,14600,307,1153,423,204,4,7.28,1.16,0.67,19.7,24.65,16.5,-10.88,-5.11,-8.52,-3.47,-1.04,-1.07,5301
5942,Dovestr.,119.06,14600,307,1153,423,204,125,7.28,1.16,0.67,25.83,26.81,17.74,-10.88,-5.11,-8.52,-5.06,-1.38,-1.64,5302
5943,Dovestr.,122.98,14600,307,1153,423,204,59,7.28,1.16,0.67,22.37,25.64,17.06,-10.88,-5.11,-8.52,-4.22,-1.21,-1.33,5303
5944,Dovestr.,165.71,14600,307,1153,423,204,175,7.28,1.16,0.67,32.31,29.27,19.17,-10.88,-5.11,-8.52,-5.87,-1.7,-2.17,5304
