EW2014,HA2014,EW_HA2014,alias,EW2013,EW2012,EW2011,EW2010,EW_HA2013,EW_HA2012,EW_HA2011,EW_HA2010
1232,3.16,390,0200030991000000,1137,1128,1110,1097,360,357,351,347
223,0.66,337,0200031001000000,237,228,231,232,359,345,350,351
,,,0200031011000000,,,,,,,,
402,1.09,367,0200031021000000,400,398,407,397,365,363,371,362
196,1.13,173,0200031031000000,187,202,196,191,165,178,173,168
1875,4.43,423,0200031041000000,1818,1781,1776,1742,410,402,400,393
3,3.41,1,0200031051000000,6,3,3,3,2,1,1,1
520,1.49,348,0200031061000000,518,511,516,518,346,342,345,346
444,1.02,434,0200031071000000,420,410,375,381,410,401,366,372
378,1.17,322,0200031081000000,373,368,361,377,317,313,307,321
764,1.86,409,0200031091000000,745,747,767,769,399,400,411,412
814,2.68,303,0200031101000000,810,778,752,756,301,289,280,281
790,1.39,567,0200031111000000,706,546,578,566,507,392,415,406
684,1.38,494,0200031121000000,685,685,643,635,495,495,465,459
840,2.59,323,0200031131000000,849,842,833,823,327,324,321,317
703,1.26,558,0200031141000000,679,670,661,657,539,532,524,521
514,1.38,371,0200031151000000,535,531,545,533,386,383,394,385
,,,0200031161000100,,,,,,,,
53,3,18,0200031161000200,79,78,66,64,26,26,22,21
521,0.88,589,0200031161000300,506,458,442,437,572,518,500,494
180,1.1,163,0200031161000400,118,141,129,145,107,128,117,131
957,2.12,450,0200031171000000,967,963,982,964,455,453,462,454
928,2.92,318,0200031181000000,935,914,901,929,320,313,308,318
924,2.01,459,0200031351000000,901,924,1155,1262,448,459,574,627
861,4.29,200,0200031401000000,836,833,836,838,194,194,194,195
829,2.86,289,0200031411000000,833,810,822,813,290,282,287,283
157,1.11,140,0200031421000000,147,144,143,155,131,129,128,139
,,,0200031441000000,,,,,,,,
,,,0200035011000000,,,,,,,,
,,,0200035021000000,,,,,,,,
,,,0200035031000000,,,,,,,,
,,,0200035061000000,,,,,,,,
,,,0200035071000000,,,,,,,,
,,,0200035081000000,,,,,,,,
,,,0200035091000000,,,,,,,,
,,,0200035101000000,,,,,,,,
,,,0200035111000000,,,,,,,,
,,,0200035121000000,,,,,,,,
,,,0200036021000100,,,,,,,,
,,,0200036021000200,,,,,,,,
258,1.97,131,0200036031000000,252,222,233,224,128,113,118,114
292,1.9,153,0200036041000100,266,279,262,265,140,146,138,139
140,1.53,91,0200036041000200,176,152,159,144,115,99,104,94
63,0.67,94,0200036051000000,61,61,68,62,91,91,101,92
241,2.63,91,0200036061000100,242,237,250,249,92,90,95,94
82,1.94,42,0200036061000200,92,96,90,88,47,49,46,45
189,3.51,54,0200036071000000,190,198,186,185,54,56,53,53
276,2.66,104,0200036081000000,262,273,259,248,98,102,97,93
274,2.62,104,0200036091000000,274,269,283,285,104,102,108,108
226,1.53,147,0200036161000000,215,217,157,154,140,142,102,100
665,1.89,351,0200036401000100,643,651,635,634,339,343,335,334
,,,0200036401000200,,,,,,,,
,,,0200036401000300,,,,,,,,
,,,0200038581000000,,,,,,,,
,,,0200038591000000,,,,,,,,
,,,0200038601000000,,,,,,,,
,,,0200038611000000,,,,,,,,
