KANART,KANART_KLAR,REGENWASSERKAN,GRUENUTZ,KAN_BEB,KAN_VGU,KAN_STR,FLALLE,STR_FLGES,alias,BAUNUTZ,EAG_NR,EAG,AGEB1_NR,AGEB1,BEREICH_NR,BEREICH
1,Mischkanalisation,1,,94,65,93,29361,7731,0200020491000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,89,48,89,21837,8284,0200020501000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,24827,8737,0200020511000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,16585,7495,0200020521000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,13012,6923,0200020531000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,28553,9325,0200020541000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,21829,8331,0200020551000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,23766,8581,0200020561000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,84,98,5496,4085,0200020571000000,Kerngebietsnutzungen,,,,,,
1,Mischkanalisation,1,,88,77,88,5360,4025,0200020581000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,5110,5567,0200020591000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,13030,6827,0200020601000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,17690,7536,0200020611000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,13207,6356,0200020621000100,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,86,80,92,22538,5781,0200020621000200,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,95,70,94,11851,5067,0200020631000100,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,73,61,89,92403,6985,0200020631000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,20634,7398,0200020631000300,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,27517,9884,0200020771000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,17226,7361,0200020781000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,31859,11092,0200020791000100,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,81,69,89,9409,1186,0200020791000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,86,82,92,33211,10607,0200020801000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,20197,7849,0200020811000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,37106,12156,0200020821000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,7472,3573,0200020831000100,Wohnnutzung,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,19612,6954,0200020831000200,,,,,,,
1,Mischkanalisation,1,,70,68,95,3175,4512,0200025011000000,Verkehrsflächen,,,,,,
1,Mischkanalisation,1,,70,68,95,3533,4139,0200025021000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,11978,7530,0200030841000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,40067,10537,0200030851000100,,,,,,,
1,Mischkanalisation,1,,87,66,88,30656,7674,0200030851000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,87,66,88,12786,6225,0200030951000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,94,65,93,7742,4577,0200030961000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,11165,5915,0200030971000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,87,66,88,18069,8322,0200030981000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,31606,10051,0200030991000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,6609,3067,0200031001000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,Stadtplatz / Promenade,84,72,81,3089,903,0200031011000000,,,,,,,
1,Mischkanalisation,1,,94,65,93,10966,5681,0200031021000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,75,92,11346,5781,0200031031000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,44350,13412,0200031041000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,Sportnutzungen,68,51,81,34158,7129,0200031051000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,94,65,93,14950,5573,0200031061000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,10235,5427,0200031071000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,11754,5798,0200031081000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,18667,7237,0200031091000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,26884,9118,0200031101000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,13932,6430,0200031111000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,13839,6447,0200031121000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,25970,8708,0200031131000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,12604,6489,0200031141000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,13847,6310,0200031151000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,86,80,92,49730,3299,0200031161000100,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,88,77,88,30067,3353,0200031161000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,8847,2540,0200031161000300,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,11030,3418,0200031161000400,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,21254,9663,0200031171000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,29221,12059,0200031181000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,86,50,89,20123,8310,0200031351000000,Wohnnutzung,,,,,,
