KANART,KANART_KLAR,REGENWASSERKAN,GRUENUTZ,KAN_BEB,KAN_VGU,KAN_STR,FLALLE,STR_FLGES,alias,BAUNUTZ,EAG_NR,EAG,AGEB1_NR,AGEB1,BEREICH_NR,BEREICH
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,6187,8167,0700215021000000,,,,,,,
1,Mischkanalisation,1,,86,80,92,36403,9879,0700216011000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,88,77,88,17564,4369,0700216031000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,86,80,92,30995,7256,0700216031000300,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,82,66,89,17704,5332,0700216041000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,86,80,92,38623,4412,0700216071000100,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,82,66,89,6718,3030,0700216071000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,76,70,89,8658,2479,0700216071000300,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,70,68,95,25519,9855,0700216071000400,Verkehrsflächen,,,,,,
1,Mischkanalisation,1,,86,80,92,7730,4926,0700216081000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,86,80,92,9982,5317,0700216091000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,73,62,89,13835,6090,0700216101000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,86,82,92,21719,2046,0700216571000100,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,86,80,92,31647,3667,0700216571000200,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,86,80,92,36196,9600,0700216571000300,Gewerbe- und Industrienutzung großflächiger Einzelhandel,100a,Spree 100a,390,Stadtspree bis Mündung,300,Spree-Dahme-Fließgebiet
1,Mischkanalisation,1,,82,66,89,13208,3812,0700216571000400,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,27479,7328,0700216571000500,Wohnnutzung,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Brachfläche Mischbestand aus Wiesen, Gebüsch und Bäumen,71,67,81,9836,3418,0700216571000600,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,19610,1335,0700216571000700,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,28009,,0700218591000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,17110,,0700218601000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,10774,,0700218611000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,14107,,0700218621000000,,,,,,,
1,Mischkanalisation,1,,95,70,94,20799,6547,0700220831000100,Mischnutzungen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,15163,6712,0700220831000200,,,,,,,
1,Mischkanalisation,1,,81,69,89,44915,11526,0700220841000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,94,65,93,21454,8190,0700220851000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,19221,5951,0700220861000100,Wohnnutzung,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,11662,3568,0700220861000200,,,,,,,
1,Mischkanalisation,1,,95,70,94,17829,7363,0700220871000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,12949,4582,0700220881000100,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,17041,5569,0700220881000200,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,82,66,89,16080,7023,0700220891000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,88,77,88,36445,11160,0700220901000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,Park / Grünfläche,76,57,89,6875,4979,0700220911000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,87,66,88,16482,4185,0700220921000100,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,86,50,89,17305,5797,0700220921000200,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,86,50,89,39880,12826,0700220931000100,Wohnnutzung,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Friedhof,63,56,81,13222,1012,0700220931000200,,,,,,,
1,Mischkanalisation,1,,86,50,89,18993,7658,0700220941000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,82,66,89,17381,7310,0700220951000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,88,77,88,25813,8754,0700220961000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,10276,5527,0700221271000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,8579,5125,0700221371000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,15292,6748,0700221381000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,65,93,24657,8068,0700221391000100,Wohnnutzung,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,10146,536,0700221391000300,,,,,,,
1,Mischkanalisation,1,,90,68,88,14039,3256,0700221391000400,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,Sportnutzungen,99,83,81,11332,2826,0700221391000500,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,94,65,93,40647,10929,0700221401000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,22591,8226,0700221551000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,89,70,88,19602,7819,0700221561000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,95,64,92,31209,9574,0700221571000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,94,65,93,25300,8518,0700221581000100,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,90,68,88,14143,2762,0700221581000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,9934,6594,0700226011000000,,,,,,,
1,Mischkanalisation,1,,94,84,98,67715,22765,0700230971000000,Kerngebietsnutzungen,,,,,,
1,Mischkanalisation,1,,94,65,93,22049,12060,0700231591000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,94,75,92,21965,12234,0700231601000000,Mischnutzungen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,9659,11167,0700236011000000,,,,,,,
1,Mischkanalisation,1,,82,66,89,111037,27739,0700236811000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
