EBENE,OKSTRA_ID,alias
0,B54B28A48E814D8FA0387B3B79CA220E,29
0,0DF4CD7DFAB44104BE0B7F22EDD3BC84,31
0,A950C2CB15634FBF9056114C829499F8,969
0,6588D5931DB24EB693C9E60458A2BD35,971
0,0B675811B4A44D8EBD00BC3650CD34CC,973
0,15B9A82C3F1844208CE93374E50C58C4,975
0,39D9839B88B14416A10AAAA2331A2E97,977
0,2EFCAD3DBF8944FAB7E5F36823B5C6AE,979
0,CCE4739A62B54E40AB751D912D8CE332,981
0,9C73DBC22015454DB87117E71EA3044B,983
0,2BAA84C603D24284A3DC8F02105FC1CB,985
0,F666A7D8248449F89B63C7F39AA65E25,987
0,5C40507D17E04B2EB63D890E94BFFDD5,1007
0,43B3F2F4A0464F22B7A7A967C0D5B8D5,1009
0,B1AA11CAC9BC4F05B8CC51BA363553B3,1011
0,5139B77FB1E144E5878AC702BF4E8C92,1013
0,BB8F7A28DBF642E0A5A3524D6A1A9552,2165
0,A3A8C9F1EBC946C0BA1AD9029C848747,2405
0,DC5680E55C82469AAF5DFFC68411A1A0,2407
0,3F226D52003944E0A8B80E4BCE2F5E92,2409
0,E24B7255012E4BE88FFAB1963ABAB5C4,3203
0,99EC4660DEB844F59B5E91F8B5B41871,3205
0,92D62D427A0446308801D09C2173E771,3207
0,18E7B56E605C4C2CAAE1A216778A680A,3211
0,E05115B0F07B4B3F90A52C3733E336DF,3455
0,CD737EEC97C54726A4181C331A363C1F,3589
0,769D10EC32154E699A342E27E04C0118,3591
0,1C74D338387C4C62A676BE1699D29504,3593
0,DE85241343B4430C9C7DCE32A07B837E,3595
0,82324A80905349659A1D87DF261EA5C1,3927
0,93D8C9691795468ABE94E6BC1F7979F9,3993
0,E58BA6EB270C40D8A1F4AB649B532FAD,4303
0,CCBEB7D7714C4519A677376D06C5BBA4,4305
0,329E9592B9424C95817B8A3E71C16C22,4669
0,AD0309758E3C497A86439B4A3708205E,4671
0,C18DC3BCB5C944C0B2C4DB70F8F55E08,4673
0,D5B327BC23534A7C8E032B4CAE35557D,4675
0,525856DF893D411FBD31DDB72AE42681,4677
0,9DEDB56E42C54A8090524B3C51975BD4,4679
0,B9053ABB70604EF1B4645BC60D091366,4681
0,917A34B2C02F48658C1E1F0E0AAD5322,4683
0,5476C78C57764FE69AE700014CAFADCF,4685
0,B2C0CB0E836F463C9EF0196D06133471,4937
0,E32E8F02490D4054900F00B829E20573,4941
0,5A8C1F2A12C1424C8F1C4ADA5339A0D2,5339
0,7D3D85CB06034F7E8DCEAC9F8CEFD1DC,5907
0,50FDF33B69F04724B6FD02807E67C0F1,5963
0,AF49B4F91B5545E0983C9CE484960741,6085
0,8C1B861B9FF942C7BDD96C46F67DB06F,6091
0,D95F8C5CF6124BF0BB1A9AC63948E215,6747
0,8C8D78C9814145799ADB01B046894876,6751
0,45BF1BFF9AE047B9A93FC793FBF616D2,7023
0,DB96C602C11C410080C34DCBAE89E2A4,7025
0,F5034435E714436B8B34C07BF4B683B9,7027
0,BBA853747E674E98A7DBA66D6C58AE3B,7029
0,B8B5C74D5AC742649653CA7BDC2C052C,7183
0,D57CDFF7096C40068090A4B9F620B77C,7425
0,417FA54060A74ADEAE35382DA881F7E8,8197
0,0FBC6055F27D468CB280D8FA8B9D725E,8199
0,B3BF0F69B29243A8B8CC20739AE1B599,8827
0,64F0FEFD2E0744E78C4AA8A09FADB36E,8973
0,6F68B02429774D57AE4FDA742DBCC56F,9147
0,8115EF05D1DF47F9896B957A41DF3DE4,9151
0,68CFAB64A3B440418F25983377375A7D,9255
0,785161116E80420D8575310F87CDC2C7,9259
0,11CBC595136A4F8CA1ABB665BD4BD189,9303
0,3F00984FE45A487BB031A2AF8294F203,9493
0,0CAF921B95304649BC1FDB3DED5FBE4F,10141
0,3B3660BA47BA48D88A9786CDF614DA60,10259
0,5073F772F5D04A3FB06547D4F4319775,10459
0,DBE22C51D06849B597DA5E6F1B6BDA00,10461
0,F6B2D9C4C1204BCFB7DBFE52A5FCD739,10463
0,161535164B444CBB9C15778C6DC68846,10499
0,406A2686A3DA4B3B9C7BCDA5FF95AFAC,10501
0,4B62AE3BB5BD47468503E92588E33E3E,11075
0,ACE798998B144438BAB8058C2B256D3C,11077
0,2657FC9723DE4A87AC23617852090C97,11283
0,2BD11E4FE5464B8E915FF684D02D9BBF,11285
0,3F597B871F2941659FF0FDD080C573F9,11793
0,C03A5636E9BD40168FDCCBB0FB34F9DD,11795
0,32710161756E4D4995759A746427DE06,12211
0,620BC597181448C6B24FA82E2E3ACCAB,12213
