SEGM_SEGM,STST_STR,STOR_NAME,ORTSTL,RVA_TYP,SORVT_TYP,HOTLINK,LAENGE,B_PFLICHT,alias,SEGM_BEZ
41570001_41560009.01,Beusselstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x00290D/index.htm" TARGET="VMS">Fotos</a>,21,ja,01-000703,
41570019_41570001.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x00290E/index.htm" TARGET="VMS">Fotos</a>,61.4,ja,01-000704,
41570004_42570013.01,Seestraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A35/index.htm" TARGET="VMS">Fotos</a>,102.8,nein,01-000806,
41570004_42570013.01,Seestraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A37/index.htm" TARGET="VMS">Fotos</a>,57.2,nein,01-000807,
42570015_42570014.01,Sylter Straße,Mitte,Wedding,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A44/index.htm" TARGET="VMS">Fotos</a>,342.4,ja,01-000810,
42570015_42570014.01,Sylter Straße,Mitte,Wedding,Radwege,Gehweg mit Radverkehr frei,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A46/index.htm" TARGET="VMS">Fotos</a>,26.9,ja,01-000811,
42570014_42570012.01,Nordufer,Mitte,Wedding,Radwege,Gehweg mit Radverkehr frei,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A48/index.htm" TARGET="VMS">Fotos</a>,331.1,nein,01-000812,
42570014_42570012.01,Nordufer,Mitte,Wedding,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A4A/index.htm" TARGET="VMS">Fotos</a>,30,nein,01-000813,
42570014_42570012.01,Nordufer,Mitte,Wedding,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A4F/index.htm" TARGET="VMS">Fotos</a>,186.7,nein,01-000814,
41560009_41560008.01,Beusselstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BCA/index.htm" TARGET="VMS">Fotos</a>,23.7,ja,01-000848,
41570001_41560009.01,Beusselstraße,Mitte,Moabit,Bussonderfahrstreifen,Bussonderfahrstreifen Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BCC/index.htm" TARGET="VMS">Fotos</a>,244.9,ja,01-000850,
41560009_41560008.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BCE/index.htm" TARGET="VMS">Fotos</a>,50.5,ja,01-000852,
41560009_41560008.01,Beusselstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BCF/index.htm" TARGET="VMS">Fotos</a>,18.2,ja,01-000853,
41570001_41560009.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BD0/index.htm" TARGET="VMS">Fotos</a>,110.1,ja,01-000854,
41570001_41560009.01,Beusselstraße,Mitte,Moabit,Radwege,Radweg baulich getrennt,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BD1/index.htm" TARGET="VMS">Fotos</a>,251.7,ja,01-000855,
41560008_41560007.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BD2/index.htm" TARGET="VMS">Fotos</a>,86.3,nein,01-000856,
41560008_41560007.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BD4/index.htm" TARGET="VMS">Fotos</a>,86.5,nein,01-000858,
41560007_41560006.01,Beusselstraße,Mitte,Moabit,Radwege,Radweg baulich getrennt,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BD8/index.htm" TARGET="VMS">Fotos</a>,79.4,ja,01-000862,
41560007_41560006.01,Beusselstraße,Mitte,Moabit,Bussonderfahrstreifen,Bussonderfahrstreifen Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BD9/index.htm" TARGET="VMS">Fotos</a>,153.4,ja,01-000863,
41560008_41560007.01,Beusselstraße,Mitte,Moabit,Bussonderfahrstreifen,Bussonderfahrstreifen Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BDB/index.htm" TARGET="VMS">Fotos</a>,171.5,nein,01-000865,
41560007_41560006.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BDE/index.htm" TARGET="VMS">Fotos</a>,84.7,ja,01-000868,
41560013_41560006.01,Sickingenstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BE0/index.htm" TARGET="VMS">Fotos</a>,25.9,nein,01-000870,
41560006_41560005.01,Beusselstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BE1/index.htm" TARGET="VMS">Fotos</a>,29.9,nein,01-000871,
41560006_41560021.02,Siemensstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BE2/index.htm" TARGET="VMS">Fotos</a>,24.9,nein,01-000872,
41560006_41560005.01,Beusselstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BE3/index.htm" TARGET="VMS">Fotos</a>,27.3,nein,01-000873,
40560004_40560005.01,Sickingenstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BE6/index.htm" TARGET="VMS">Fotos</a>,749.6,nein,01-000876,
40560004_40560005.01,Sickingenstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BE8/index.htm" TARGET="VMS">Fotos</a>,223.5,nein,01-000878,
40560004_40560005.01,Sickingenstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BE9/index.htm" TARGET="VMS">Fotos</a>,15.9,nein,01-000879,
40560012_40560004.02,Neues Ufer,Charlottenburg-Wilmersdorf,Charlottenburg,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BEA/index.htm" TARGET="VMS">Fotos</a>,16.8,nein,01-000880,
