SEGM_SEGM,STST_STR,STOR_NAME,ORTSTL,RVA_TYP,SORVT_TYP,HOTLINK,LAENGE,B_PFLICHT,alias,SEGM_BEZ
42560032_42560035.01,An der Putlitzbrücke,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00326A/index.htm" TARGET="VMS">Fotos</a>,99.6,ja,01-001090,
42560037_42560004.01,Birkenstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00326E/index.htm" TARGET="VMS">Fotos</a>,29.5,nein,01-001091,
42560022_42560004.01,Stromstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00326F/index.htm" TARGET="VMS">Fotos</a>,30.1,nein,01-001092,
42560004_42560005.02,Birkenstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003270/index.htm" TARGET="VMS">Fotos</a>,53.3,nein,01-001093,
42560004_42560032.01,An der Putlitzbrücke,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003271/index.htm" TARGET="VMS">Fotos</a>,31.7,nein,01-001094,
42560004_42560005.02,Birkenstraße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 ohne ruhenden Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003273/index.htm" TARGET="VMS">Fotos</a>,13,nein,01-001095,
42560037_42560004.01,Birkenstraße,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003275/index.htm" TARGET="VMS">Fotos</a>,46.2,nein,01-001096,
42560003_42560037.01,Birkenstraße,Mitte,Moabit,Radwege,Radweg baulich getrennt,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003276/index.htm" TARGET="VMS">Fotos</a>,71.5,ja,01-001097,
42560003_42560037.01,Birkenstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003277/index.htm" TARGET="VMS">Fotos</a>,12.5,ja,01-001098,
42560003_42560037.01,Birkenstraße,Mitte,Moabit,Radwege,Radweg baulich getrennt,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003278/index.htm" TARGET="VMS">Fotos</a>,27,ja,01-001099,
42560004_42560032.01,An der Putlitzbrücke,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003279/index.htm" TARGET="VMS">Fotos</a>,46.8,nein,01-001100,
42560032_42560035.01,An der Putlitzbrücke,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00327A/index.htm" TARGET="VMS">Fotos</a>,59.3,ja,01-001101,
42570002_42570001.01,An der Putlitzbrücke,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00327B/index.htm" TARGET="VMS">Fotos</a>,547.2,ja,01-001102,
42570002_42570001.01,An der Putlitzbrücke,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 ohne ruhenden Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00327C/index.htm" TARGET="VMS">Fotos</a>,15.4,ja,01-001103,
42570002_42570001.01,An der Putlitzbrücke,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00327D/index.htm" TARGET="VMS">Fotos</a>,17,ja,01-001104,
42570001_42570003.01,An der Putlitzbrücke,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00327E/index.htm" TARGET="VMS">Fotos</a>,25.3,ja,01-001105,
42570003_42570012.01,Föhrer Brücke,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00327F/index.htm" TARGET="VMS">Fotos</a>,74.1,ja,01-001106,
40550020_40550001.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00329A/index.htm" TARGET="VMS">Fotos</a>,17.8,nein,01-001107,
40550020_40550001.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00329B/index.htm" TARGET="VMS">Fotos</a>,22.9,nein,01-001108,
40550020_40550001.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00329C/index.htm" TARGET="VMS">Fotos</a>,29.6,nein,01-001109,
40550001_40550002.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00329D/index.htm" TARGET="VMS">Fotos</a>,12.1,nein,01-001110,
40550004_40550001.01,Neues Ufer,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00329E/index.htm" TARGET="VMS">Fotos</a>,18,nein,01-001111,
40550001_40550002.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00329F/index.htm" TARGET="VMS">Fotos</a>,14,nein,01-001112,
40550001_40550005.02,Neues Ufer,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0032A0/index.htm" TARGET="VMS">Fotos</a>,18.5,nein,01-001113,
40550020_40550001.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0032A1/index.htm" TARGET="VMS">Fotos</a>,23.1,nein,01-001114,
40550020_40550001.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0032A2/index.htm" TARGET="VMS">Fotos</a>,21,nein,01-001115,
40550032_40550020.01,Kaiserin-Augusta-Allee,Charlottenburg-Wilmersdorf,Charlottenburg,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0032A3/index.htm" TARGET="VMS">Fotos</a>,25.6,nein,01-001116,
40550004_40550001.01,Neues Ufer,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003341/index.htm" TARGET="VMS">Fotos</a>,456,nein,01-001198,
40550004_40550001.01,Neues Ufer,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003342/index.htm" TARGET="VMS">Fotos</a>,36.5,nein,01-001199,
40550004_40550001.01,Neues Ufer,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003343/index.htm" TARGET="VMS">Fotos</a>,83.1,nein,01-001200,
40560001_40550004.01,Neues Ufer,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00334E/index.htm" TARGET="VMS">Fotos</a>,9.6,nein,01-001211,
40560001_40550004.01,Neues Ufer,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x004828/index.htm" TARGET="VMS">Fotos</a>,306.9,nein,01-001213,
40560004_40560001.01,Neues Ufer,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x004826/index.htm" TARGET="VMS">Fotos</a>,25,ja,01-001214,
40560004_40560001.01,Neues Ufer,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x004827/index.htm" TARGET="VMS">Fotos</a>,72.3,ja,01-001215,
40560002_40560003.01,Huttenstraße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 mit ruh.Verkehr mit Begrenzung,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x004829/index.htm" TARGET="VMS">Fotos</a>,331,nein,01-001217,
40560003_41560002.01,Huttenstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x00482A/index.htm" TARGET="VMS">Fotos</a>,20.8,nein,01-001218,
40560003_41560002.01,Huttenstraße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 mit ruh.Verkehr mit Begrenzung,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x00482D/index.htm" TARGET="VMS">Fotos</a>,138.8,nein,01-001222,
41560004_41550014.01,Turmstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003360/index.htm" TARGET="VMS">Fotos</a>,85.7,nein,01-001229,
41550013_41550014.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003361/index.htm" TARGET="VMS">Fotos</a>,28.9,nein,01-001230,
41550014_41560015.02,Waldstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003362/index.htm" TARGET="VMS">Fotos</a>,27.9,nein,01-001231,
41550014_41560015.02,Waldstraße,Mitte,Moabit,Radwege,Radweg baulich getrennt,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003363/index.htm" TARGET="VMS">Fotos</a>,29.2,nein,01-001232,
41550014_41560015.02,Waldstraße,Mitte,Moabit,Radwege,Radweg baulich getrennt,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003364/index.htm" TARGET="VMS">Fotos</a>,29.6,nein,01-001233,
41550013_41550014.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003365/index.htm" TARGET="VMS">Fotos</a>,16.7,nein,01-001234,
41560004_41550014.01,Turmstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003366/index.htm" TARGET="VMS">Fotos</a>,88.5,nein,01-001235,
40560003_41560002.01,Huttenstraße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 mit ruh.Verkehr mit Begrenzung,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x00481F/index.htm" TARGET="VMS">Fotos</a>,295.6,nein,01-001236,
40560002_40560003.01,Huttenstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x004821/index.htm" TARGET="VMS">Fotos</a>,15.8,nein,01-001237,
40560002_40560003.01,Huttenstraße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 mit ruh.Verkehr mit Begrenzung,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x004822/index.htm" TARGET="VMS">Fotos</a>,154,nein,01-001238,
40560002_40560003.01,Huttenstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x004823/index.htm" TARGET="VMS">Fotos</a>,17.8,nein,01-001239,
40560001_40560002.01,Huttenstraße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 mit ruh.Verkehr mit Begrenzung,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004800/0x004824/index.htm" TARGET="VMS">Fotos</a>,132.9,nein,01-001240,
41550003_41550004.01,Alt-Moabit,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00336C/index.htm" TARGET="VMS">Fotos</a>,942,nein,01-001241,
41550003_41550004.01,Alt-Moabit,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003372/index.htm" TARGET="VMS">Fotos</a>,131.3,nein,01-001247,
41550003_41550004.01,Alt-Moabit,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003373/index.htm" TARGET="VMS">Fotos</a>,25,nein,01-001248,
41550003_41550004.01,Alt-Moabit,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003375/index.htm" TARGET="VMS">Fotos</a>,20.4,nein,01-001250,
41550007_41550003.01,Beusselstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003376/index.htm" TARGET="VMS">Fotos</a>,19.2,nein,01-001251,
41550018_41550003.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003377/index.htm" TARGET="VMS">Fotos</a>,247.9,nein,01-001252,
41550018_41550003.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003378/index.htm" TARGET="VMS">Fotos</a>,10.5,nein,01-001253,
40550002_41550018.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00337A/index.htm" TARGET="VMS">Fotos</a>,374.7,nein,01-001255,
40550001_40550002.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00337B/index.htm" TARGET="VMS">Fotos</a>,18.5,nein,01-001256,
40550002_40550003.01,Wiebestraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00337C/index.htm" TARGET="VMS">Fotos</a>,21,nein,01-001257,
40550002_41550018.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 ohne ruhenden Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00337D/index.htm" TARGET="VMS">Fotos</a>,6.8,nein,01-001258,
40550002_40550003.01,Wiebestraße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 ohne ruhenden Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00337E/index.htm" TARGET="VMS">Fotos</a>,5.3,nein,01-001259,
40550002_40550003.01,Wiebestraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00337F/index.htm" TARGET="VMS">Fotos</a>,20.3,nein,01-001260,
40550001_40550002.01,Kaiserin-Augusta-Allee,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003380/index.htm" TARGET="VMS">Fotos</a>,135.4,nein,01-001261,
41550003_41550004.01,Alt-Moabit,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00338A/index.htm" TARGET="VMS">Fotos</a>,32.5,nein,01-001271,
41550011_41550004.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00338B/index.htm" TARGET="VMS">Fotos</a>,27.2,nein,01-001272,
41550004_41550005.01,Alt-Moabit,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00338C/index.htm" TARGET="VMS">Fotos</a>,20.1,nein,01-001273,
41550004_41550013.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00338D/index.htm" TARGET="VMS">Fotos</a>,23.5,nein,01-001274,
41550004_41550013.01,Gotzkowskystraße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 ohne ruhenden Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00338E/index.htm" TARGET="VMS">Fotos</a>,8.3,nein,01-001275,
41550011_41550004.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00338F/index.htm" TARGET="VMS">Fotos</a>,91.3,nein,01-001276,
41550012_41550011.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003390/index.htm" TARGET="VMS">Fotos</a>,20.5,ja,01-001277,
41550012_41550011.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003391/index.htm" TARGET="VMS">Fotos</a>,38.9,ja,01-001278,
41550011_41550004.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003392/index.htm" TARGET="VMS">Fotos</a>,39.5,nein,01-001279,
41550011_41550004.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003393/index.htm" TARGET="VMS">Fotos</a>,69.6,nein,01-001280,
41550029_41550012.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033A9/index.htm" TARGET="VMS">Fotos</a>,65.1,nein,01-001301,
41550029_41550012.01,Gotzkowskystraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033B0/index.htm" TARGET="VMS">Fotos</a>,68.1,nein,01-001302,
41550019_41550020.01,Levetzowstraße,Mitte,Moabit,Radwege,Radweg baulich getrennt,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033CA/index.htm" TARGET="VMS">Fotos</a>,15.7,nein,01-001303,
41550019_41550020.01,Levetzowstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033CB/index.htm" TARGET="VMS">Fotos</a>,17.4,nein,01-001304,
41550020_41550017.01,Levetzowstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033CC/index.htm" TARGET="VMS">Fotos</a>,266.8,nein,01-001305,
41550002_41550017.02,Jagowstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033CD/index.htm" TARGET="VMS">Fotos</a>,26.8,nein,01-001306,
41550017_41550006.02,Jagowstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033CE/index.htm" TARGET="VMS">Fotos</a>,26.3,nein,01-001307,
41550017_42550019.01,Levetzowstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033CF/index.htm" TARGET="VMS">Fotos</a>,23,nein,01-001308,
41550017_42550019.01,Levetzowstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033D0/index.htm" TARGET="VMS">Fotos</a>,21.3,nein,01-001309,
41550017_41550006.02,Jagowstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033D1/index.htm" TARGET="VMS">Fotos</a>,23.7,nein,01-001310,
41550017_41550006.02,Jagowstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033D2/index.htm" TARGET="VMS">Fotos</a>,24.3,nein,01-001311,
41550017_42550019.01,Levetzowstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033D3/index.htm" TARGET="VMS">Fotos</a>,140.4,nein,01-001312,
42550019_42550015.01,Levetzowstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033D4/index.htm" TARGET="VMS">Fotos</a>,19.7,nein,01-001313,
42550019_42550015.01,Levetzowstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033D6/index.htm" TARGET="VMS">Fotos</a>,130,nein,01-001315,
42550015_42550038.01,Altonaer Straße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033D7/index.htm" TARGET="VMS">Fotos</a>,27.8,ja,01-001316,
42550015_42550038.01,Altonaer Straße,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033D8/index.htm" TARGET="VMS">Fotos</a>,95.3,ja,01-001317,
42550038_42550037.01,Altonaer Straße,Mitte,Hansaviertel,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033DA/index.htm" TARGET="VMS">Fotos</a>,55.2,ja,01-001319,
42540005_42550037.01,Bachstraße,Mitte,Hansaviertel,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033DB/index.htm" TARGET="VMS">Fotos</a>,26.5,ja,01-001320,
42550038_42550037.01,Altonaer Straße,Mitte,Hansaviertel,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033DC/index.htm" TARGET="VMS">Fotos</a>,29.7,ja,01-001321,
42540005_42550037.01,Bachstraße,Mitte,Hansaviertel,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00004400/0x00460B/index.htm" TARGET="VMS">Fotos</a>,27,ja,01-001322,
42550037_42540002.01,Altonaer Straße,Mitte,Hansaviertel,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x0033DE/index.htm" TARGET="VMS">Fotos</a>,33.4,ja,01-001323,
