Bohrungsbezeichnung,DIR_PIX_LAMBDA,LA_100TXT,LA_80TXT,LA_60TXT,LA_40TXT,alias
423C-3408,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8051.png" target="abb">zur Abbildung</a>,-,-,-,2 5,F62__8031
423C-3954,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8067.png" target="abb">zur Abbildung</a>,-,-,-,2 3,F62__8047
423C-3955,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8068.png" target="abb">zur Abbildung</a>,-,-,-,2 6,F62__8048
424B-3227,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8766.png" target="abb">zur Abbildung</a>,-,-,2 4,2 5,F62__8746
424B-3228,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8767.png" target="abb">zur Abbildung</a>,2 6,2 6,2 6,2 6,F62__8747
424B-3229,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8768.png" target="abb">zur Abbildung</a>,-,-,-,2 6,F62__8748
424B-3284,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8771.png" target="abb">zur Abbildung</a>,1 8,1 8,1 7,1 7,F62__8751
424B-3401,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8772.png" target="abb">zur Abbildung</a>,-,-,-,2 6,F62__8752
424B-3516,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8773.png" target="abb">zur Abbildung</a>,-,2 3,2 2,2 2,F62__8753
424B-3517,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8774.png" target="abb">zur Abbildung</a>,-,1 8,1 8,1 9,F62__8754
424B-3518,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8775.png" target="abb">zur Abbildung</a>,-,2 3,2 3,2 1,F62__8755
424B-3898,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8777.png" target="abb">zur Abbildung</a>,-,-,2 2,2 2,F62__8757
424B-3916,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8778.png" target="abb">zur Abbildung</a>,-,2 5,2 4,2 6,F62__8758
424B-3919,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8780.png" target="abb">zur Abbildung</a>,-,2 5,2 4,2 7,F62__8760
424B-4028,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8784.png" target="abb">zur Abbildung</a>,-,-,-,2 1,F62__8764
424B-4068,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8785.png" target="abb">zur Abbildung</a>,2 4,2 3,2 2,2 4,F62__8765
424B-41,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8787.png" target="abb">zur Abbildung</a>,-,-,-,2 5,F62__8767
424B-4260,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8788.png" target="abb">zur Abbildung</a>,-,-,-,2 4,F62__8768
424B-4264,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8789.png" target="abb">zur Abbildung</a>,-,2 2,2 2,2 4,F62__8769
424B-4399,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/lambda/bohrunglambdalocid000000_8790.png" target="abb">zur Abbildung</a>,-,2 2,2 1,2 4,F62__8770
