BEZ_NAME,BEZ_ANZAHL,BEZ_KFLAECHE,BEZ_KFEW2013,BEZ_EW2013,alias
Mitte,97,4786.48,0.1,46303,01
Charlottenburg-Wilmersdorf,178,2578.18,0.08,30771,04
