ID_ORIG,NAME,LAENGE,DTV,SLKW,LLKW,BUS,KRAD,N_BETROF,EM_NOX,EM_PM10,EM_PM25,GNO2_M,GPM10_M,GPM25_M,MB2_EMNOX,MB2_EM_PM1,MB2_EMPM25,MB2_GNO2,MB2_GPM10,MB2_GPM25,alias
1038,Turmstr.,87.28,9712,194,767,777,136,51,7.45,0.89,0.53,26.23,26.71,17.72,0,0,0,0,0,0,904
1039,Alt-Moabit,97.39,22861,526,1806,343,320,49,11.11,1.72,1.04,24.13,26.48,17.58,0,0,0,0,0,0,905
1040,Brenner Str.,49.09,5658,187,419,17,57,3,2.16,0.29,0.18,21.07,25.89,17.12,0,0,0,0,0,0,906
1041,Siemensstr.,122.27,8162,449,661,73,114,10,4.57,0.7,0.42,23.56,26.9,17.67,0,0,0,0,0,0,907
1042,Siemensstr.,39.01,8162,449,661,73,114,1,4.57,0.7,0.42,21,26.08,17.16,0,0,0,0,0,0,908
1043,Quitzowstr.,40.9,6192,341,502,74,87,6,3.44,0.51,0.3,20.77,25.97,17.11,0,0,0,0,0,0,909
1044,Quitzowstr.,74.79,6192,341,502,74,87,34,3.44,0.51,0.3,23.06,26.71,17.55,0,0,0,0,0,0,910
1045,Sylter Str.,151.08,9820,255,737,10,98,49,4.44,0.69,0.42,20.35,25.65,16.92,0,0,0,0,0,0,911
10515,Seestr.,468.12,71982,2807,5687,216,1008,0,40.9,5.29,3.27,18.82,25.81,16.85,0,0,0,0,0,0,9543
10537,Beusselstr.,163.35,39447,1933,3195,552,552,7,23.61,3.52,2.13,23.84,27.41,17.77,0,0,0,0,0,0,9562
10538,Beusselstr.,122.73,39447,1933,3195,552,552,8,23.61,3.52,2.13,26.67,28.08,18.25,0,0,0,0,0,0,9563
10539,Beusselstr.,132.99,39447,1933,3195,552,552,0,23.61,3.52,2.13,21.65,25.55,16.93,0,0,0,0,0,0,9564
10733,Richard-Wagner-Str.,58.9,7775,132,560,78,78,9,3.38,0.53,0.32,20.9,24.99,16.71,0,0,0,0,0,0,9740
10734,Richard-Wagner-Str.,22.62,7775,132,560,78,78,6,3.38,0.53,0.32,21.51,25.25,16.86,0,0,0,0,0,0,9741
10735,Richard-Wagner-Str.,175.61,7775,132,560,78,78,158,3.38,0.53,0.32,24.71,26.3,17.5,0,0,0,0,0,0,9742
10736,Richard-Wagner-Str.,335.51,7775,132,560,78,78,239,3.38,0.53,0.32,24.82,26.39,17.55,0,0,0,0,0,0,9743
10853,A100,307,31555,1262,2493,32,442,2,11.63,1.05,0.7,20.13,25.27,16.73,0,0,0,0,0,0,9849
10854,A100,300.39,29850,1194,2358,30,418,2,10.99,0.99,0.66,20.07,25.2,16.7,0,0,0,0,0,0,9850
10856,A100,1570.69,40598,2111,3410,41,203,3,10.4,1.3,0.81,18.1,23.99,16.14,0,0,0,0,0,0,9852
