alias,EW2013,EW2012,EW2011,EW2010,HA2013,EW_HA2013,EW_HA2012,EW_HA2011,EW_HA2010
0200031141000000,679,670,661,657,1.26,539,532,524,521
0200031151000000,535,531,545,533,1.38,386,383,394,385
0200031161000100,,,,,,,,,
0200031161000200,79,78,66,64,3,26,26,22,21
0200031161000300,506,458,442,437,0.88,572,518,500,494
0200031161000400,118,141,129,145,1.1,107,128,117,131
0200031171000000,967,963,982,964,2.12,455,453,462,454
0200031181000000,935,914,901,929,2.92,320,313,308,318
0200031351000000,901,924,1155,1262,2.01,448,459,574,627
0200031401000000,836,833,836,838,4.29,194,194,194,195
0200031411000000,833,810,822,813,2.86,290,282,287,283
0200031421000000,147,144,143,155,1.11,131,129,128,139
0200031441000000,,,,,,,,,
0200035011000000,,,,,,,,,
0200035021000000,,,,,,,,,
0200035031000000,,,,,,,,,
0200035061000000,,,,,,,,,
0200035071000000,,,,,,,,,
0200035081000000,,,,,,,,,
0200035091000000,,,,,,,,,
0200035101000000,,,,,,,,,
0200035111000000,,,,,,,,,
0200035121000000,,,,,,,,,
0200036021000100,,,,,,,,,
0200036021000200,,,,,,,,,
0200036031000000,252,222,233,224,1.97,128,113,118,114
0200036041000100,266,279,262,265,1.9,140,146,138,139
0200036041000200,176,152,159,144,1.53,115,99,104,94
0200036051000000,61,61,68,62,0.67,91,91,101,92
0200036061000100,242,237,250,249,2.63,92,90,95,94
0200036061000200,92,96,90,88,1.94,47,49,46,45
0200036071000000,190,198,186,185,3.51,54,56,53,53
0200036081000000,262,273,259,248,2.66,98,102,97,93
0200036091000000,274,269,283,285,2.62,104,102,108,108
0200036161000000,215,217,157,154,1.53,140,142,102,100
0200036401000100,643,651,635,634,1.89,339,343,335,334
0200036401000200,,,,,,,,,
0200036401000300,,,,,,,,,
0200038581000000,,,,,,,,,
0200038591000000,,,,,,,,,
0200038601000000,,,,,,,,,
0200038611000000,,,,,,,,,
0200038621000000,,,,,,,,,
0200038631000000,,,,,,,,,
0200039071000100,,,,,,,,,
0200039071000200,,,,,,,,,
0200039081000100,,,,,,,,,
0200039081000300,,,,,,,,,
0200041561000100,,,,,,,,,
0200041561000300,,,,,,,,,
0200041561000400,,,,,,,,,
0200041771000000,,,,,,,,,
0200046101000100,96,90,91,86,10.03,10,9,9,9
0200046101000200,,,,,,,,,
0200046101000300,,,,,,,,,
0200046111000100,,,,,,,,,
0200046111000200,,,,,,,,,
0200046111000300,,,,,,,,,
0300091881000000,0,0,3,3,1.39,0,0,2,2
0300091891000000,1340,1311,1251,1224,2.41,554,542,518,506
0300091901000000,1673,1558,1474,1407,3.06,546,508,481,459
0300101851000000,,,,,,,,,
0300101861000000,20,28,31,33,33.61,1,1,1,1
0700190131000200,70,75,77,95,15.89,4,5,5,6
0700190171000200,,,,,,,,,
0700190171000300,,,,,,,,,
0700190171000400,,,,,,,,,
0700190171000500,,,,,,,,,
0700190261000000,,,,,,,,,
0700190331000000,4,6,6,6,2.28,2,3,3,3
0700195051000000,,,,,,,,,
0700196011000100,,,,,,,,,
0700196011000200,267,264,259,244,40.58,7,7,6,6
0700196041000000,12,9,9,9,4.96,2,2,2,2
0700196061000000,16,14,15,17,0.67,24,21,22,25
0700196091000200,,,,,,,,,
0700196531000000,,,,,,,,,
0700196801000200,91,82,82,75,5.08,18,16,16,15
0700196801000300,,,,,,,,,
0700196801000400,9,7,6,3,0.94,10,7,6,3
