AnzahlDerObergeschosse,Bauart_schluessel,Bauart_bezeichnung,AAA-Beschreibung,alias,LageZurErdoberflaeche_schluessel,LageZurErdoberflaeche_bezeichnung,Gebaeudefunktion_schluessel,Gebaeudefunktion_bezeichnung,AnzahlDerUntergeschosse,Gebaeudekennzeichen,Beschreibung_schluessel,Beschreibung_bezeichnung,Strassen_schluessel,Strassen_name,PseudoNummer,LaufendeNummer,Bauweise_schluessel,Bauweise_bezeichnung,Hausnummer,Name,Hochhaus,Zustand_schluessel,Zustand_bezeichnung
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__13658,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13667,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__13668,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__13669,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13673,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13726,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13736,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13744,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__13752,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__13758,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__13764,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__13800,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13823,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__13824,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13845,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13854,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__13895,,,,,,,,,,,,,,,,,,,
7,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13901,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__13902,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__13910,,,,,,,,,,,,,,,,,,,
7,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13920,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__13938,,,,,,,,,,,,,,,,,,,
5,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__13943,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13952,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13975,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13981,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13985,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13988,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__13989,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__13994,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__13998,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14020,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14027,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14028,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14034,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14038,,,,,,,,,,,,,,,,,,,
2,2400,Arkade,AX_Bauteil,F11__14043,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14048,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14055,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14058,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14066,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14069,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14071,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14073,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14080,,,,,,,,,,,,,,,,,,,
8,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14085,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14105,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14107,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14109,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14114,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14116,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14121,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14128,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14129,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14138,,,,,,,,,,,,,,,,,,,
9,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14153,1400,Aufgeständert,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14164,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14165,,,,,,,,,,,,,,,,,,,
7,9999,Sonstiges,AX_Bauteil,F11__14168,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14174,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14178,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14190,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14191,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14204,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14208,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14217,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14219,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14220,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14222,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14226,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14236,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14238,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14241,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14247,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14252,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14261,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14266,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14270,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14271,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__14272,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14274,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14289,,,,,,,,,,,,,,,,,,,
9,1300,Hochhausgebäudeteil,AX_Bauteil,F11__14295,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14297,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14304,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14305,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__14306,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__14313,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__14329,,,,,,,,,,,,,,,,,,,
