AnzahlDerObergeschosse,Bauart_schluessel,Bauart_bezeichnung,AAA-Beschreibung,alias,LageZurErdoberflaeche_schluessel,LageZurErdoberflaeche_bezeichnung,Gebaeudefunktion_schluessel,Gebaeudefunktion_bezeichnung,AnzahlDerUntergeschosse,Gebaeudekennzeichen,Beschreibung_schluessel,Beschreibung_bezeichnung,Strassen_schluessel,Strassen_name,PseudoNummer,LaufendeNummer,Bauweise_schluessel,Bauweise_bezeichnung,Hausnummer,Name,Hochhaus,Zustand_schluessel,Zustand_bezeichnung
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__18847,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__18850,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18855,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18857,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18858,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18860,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__18870,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18879,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18897,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18910,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18921,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18926,,,,,,,,,,,,,,,,,,,
17,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18938,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__18942,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18953,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18954,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18958,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18961,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18972,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18977,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18980,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18986,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18988,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18991,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18992,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__18997,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__18998,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19000,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19008,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19019,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19020,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19021,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19033,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19035,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19048,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19050,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19053,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19056,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19062,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19063,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19068,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19074,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19081,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19093,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19100,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19113,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19118,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19119,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19122,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19137,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19141,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19149,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19155,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19164,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19181,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19201,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19208,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19213,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19216,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19223,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19253,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19264,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19266,1400,Aufgeständert,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19285,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19286,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19305,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19306,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19308,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19319,,,,,,,,,,,,,,,,,,,
9,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19320,1400,Aufgeständert,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19325,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19335,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19340,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19344,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19354,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19356,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19365,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19366,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19367,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19369,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19374,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19375,,,,,,,,,,,,,,,,,,,
14,1300,Hochhausgebäudeteil,AX_Bauteil,F11__19378,1400,Aufgeständert,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19382,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19389,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19390,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19394,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19395,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19404,,,,,,,,,,,,,,,,,,,
1,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19428,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19431,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19434,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19442,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19445,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19446,,,,,,,,,,,,,,,,,,,
8,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19452,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19458,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19460,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19462,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19464,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19465,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19474,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19476,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19484,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19491,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19500,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19502,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19510,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19511,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19513,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19514,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19537,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19547,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19584,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19606,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19615,,,,,,,,,,,,,,,,,,,
2,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19620,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19637,,,,,,,,,,,,,,,,,,,
7,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19641,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19643,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19653,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19654,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19660,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19662,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19667,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19673,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19678,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19686,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19700,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19701,,,,,,,,,,,,,,,,,,,
2,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19708,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19717,,,,,,,,,,,,,,,,,,,
6,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19726,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19736,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19738,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19746,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19757,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19759,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19768,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19769,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19776,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19787,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19795,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19798,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19800,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19801,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19809,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19816,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19817,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19826,1400,Aufgeständert,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19841,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19853,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19858,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19859,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19865,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19867,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__19869,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19873,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19883,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19887,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19900,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19901,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19902,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19905,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19929,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19936,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19942,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19956,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19960,,,,,,,,,,,,,,,,,,,
2,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__19961,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19973,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__19985,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19986,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__19997,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20008,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__20015,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__20027,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20030,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20041,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20043,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20052,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20060,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20063,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20081,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20082,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20097,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20112,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20116,,,,,,,,,,,,,,,,,,,
7,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20126,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20133,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20141,,,,,,,,,,,,,,,,,,,
,2400,Arkade,AX_Bauteil,F11__20157,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20167,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20174,,,,,,,,,,,,,,,,,,,
2,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20177,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20189,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20196,,,,,,,,,,,,,,,,,,,
7,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20198,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20229,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20230,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20254,,,,,,,,,,,,,,,,,,,
5,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20257,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20267,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20268,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20278,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20288,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__20290,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__20296,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20303,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20304,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20329,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20331,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20344,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20346,,,,,,,,,,,,,,,,,,,
17,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20349,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20358,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20363,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20371,,,,,,,,,,,,,,,,,,,
9,1300,Hochhausgebäudeteil,AX_Bauteil,F11__20389,,,,,,,,,,,,,,,,,,,
5,9999,Sonstiges,AX_Bauteil,F11__20393,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20403,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20410,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__20415,,,,,,,,,,,,,,,,,,,
1,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20417,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20423,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__20442,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20449,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20459,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20460,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20466,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20470,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20473,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20478,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__20481,,,,,,,,,,,,,,,,,,,
7,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20482,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20483,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__20492,,,,,,,,,,,,,,,,,,,
30,1300,Hochhausgebäudeteil,AX_Bauteil,F11__20512,,,,,,,,,,,,,,,,,,,
21,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20514,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20521,,,,,,,,,,,,,,,,,,,
9,1300,Hochhausgebäudeteil,AX_Bauteil,F11__20538,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20548,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20550,,,,,,,,,,,,,,,,,,,
9,1300,Hochhausgebäudeteil,AX_Bauteil,F11__20566,,,,,,,,,,,,,,,,,,,
,9999,Sonstiges,AX_Bauteil,F11__20579,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__20580,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20581,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20584,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__20588,,,,,,,,,,,,,,,,,,,
3,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__20598,,,,,,,,,,,,,,,,,,,
