ELEM_NR,STRSCHL,STR_NAME,STRKLASSE1,STRKLASSE,STRKLASSE2,VRICHT,BEZIRK,STADTTEIL,EBENE,VON_VP,BIS_VP,LAENGE,GILT_VON,OKSTRA_ID,alias,STR_BEZ
42560015_42560014.02,01866,Havelberger Straße,V,G,STRA,B,Mitte,Moabit,0,42560015,42560014,86.01,20141204,5D85BBDF93AF4814937D77488E12A079,Havelberger Straße,
42560014_43560026.01,04317,Stendaler Straße,V,G,STRA,B,Mitte,Moabit,0,42560014,43560026,225.32,20141204,DE33F701D9D84814B43B2DC6C3304397,Stendaler Straße,
42560015_43560020.02,04320,Stephanstraße,V,G,STRA,B,Mitte,Moabit,0,42560015,43560020,196.62,20141204,44FE3B8E0D2B4BB08C1F5B8BF0AA9B2B,Stephanstraße,
42560003_42560037.01,00574,Birkenstraße,IV,G,STRA,B,Mitte,Moabit,0,42560003,42560037,104.0254,20141204,F1FEF4416B5A48A2A1E8C8E81454298F,Birkenstraße,
42560037_42560004.01,00574,Birkenstraße,IV,G,STRA,B,Mitte,Moabit,0,42560037,42560004,36.5911,20141204,8DFC9DD7853E45369CB9FAABC422BADE,Birkenstraße,
42560032_42560035.01,00295,An der Putlitzbrücke,II,G,STRA,B,Mitte,Moabit,2,42560032,42560035,213.7,20141204,53002BC394F240C19AEE27EF412C2A21,An der Putlitzbrücke,
42560035_42570002.01,00295,An der Putlitzbrücke,II,G,STRA,B,Mitte,Moabit,2,42560035,42570002,288.84,20141204,E206BFDF148A42C09147EE93862BF8D9,An der Putlitzbrücke,
42560024_42560036.01,03576,Quitzowstraße,V,G,STRA,B,Mitte,Moabit,0,42560024,42560036,135.0775,20141204,B25442996B7D46BB81FD42871D369043,Quitzowstraße,
42560036_42560016.01,03576,Quitzowstraße,V,G,STRA,B,Mitte,Moabit,0,42560036,42560016,274.1742,20141204,6363ACD381944483AE47594A6FAD2249,Quitzowstraße,
42560036_42560037.01,03565,Putlitzstraße,V,G,STRA,R,Mitte,Moabit,0,42560036,42560037,281.26,20141204,EEC43E4703C648DE9613FC2675E8B624,Putlitzstraße,
42560006_43560001.02,00574,Birkenstraße,V,G,STRA,B,Mitte,Moabit,0,42560006,43560001,201.06,20141204,677C7AB1B2E3421C832120444AE660AF,Birkenstraße,
43560001_43560003.02,00574,Birkenstraße,V,G,STRA,B,Mitte,Moabit,0,43560001,43560003,87.85,20141204,063E900E8410419F9E4B4D20597A712B,Birkenstraße,
43560014_43560011.02,04889,Wilsnacker Straße,V,G,STRA,B,Mitte,Moabit,0,43560014,43560011,170.01,20141204,3721FECE365242DEA178A10C3659B400,Wilsnacker Straße,
43560002_43550008.02,00410,Bandelstraße,V,G,STRA,B,Mitte,Moabit,0,43560002,43550008,213.24,20141204,620696CE85A84291BE956E1771C02F14,Bandelstraße,
43560001_43560002.02,00410,Bandelstraße,V,G,STRA,B,Mitte,Moabit,0,43560001,43560002,206.66,20141204,59340A124364465A903E142046B67B37,Bandelstraße,
43560002_43560005.02,01021,Dreysestraße,V,G,STRA,B,Mitte,Moabit,0,43560002,43560005,99.76,20141204,6A821F8BE2E44392A3161667F92FD3F8,Dreysestraße,
42550025_42560018.02,02869,Lübecker Straße,V,G,STRA,B,Mitte,Moabit,0,42550025,42560018,402.13,20141204,D8190424B05B4FFEB6E661C0ACD97ACE,Lübecker Straße,
42560018_42560005.02,02869,Lübecker Straße,V,G,STRA,B,Mitte,Moabit,0,42560018,42560005,155.65,20141204,6622CB1586174C2F8ECBF4F942DB6D36,Lübecker Straße,
42550014_42550009.02,00727,Bremer Straße,V,G,STRA,B,Mitte,Moabit,0,42550014,42550009,101.35,20141204,3A0D31826ACD46CEA3197477CC98BF96,Bremer Straße,
42550009_42550008.02,00336,Arminiusstraße,V,G,STRA,B,Mitte,Moabit,0,42550009,42550008,89.26,20141204,DA0E918129044AB6A5CBAD91E52249A2,Arminiusstraße,
42550024_42550008.02,02257,Jonasstraße,V,G,STRA,B,Mitte,Moabit,0,42550024,42550008,99.32,20141204,AD2BFFD8A4B94F9CB7C2F862DB3F56EF,Jonasstraße,
42550013_42560007.02,00713,Bredowstraße,V,G,STRA,B,Mitte,Moabit,0,42550013,42560007,199.09,20141204,61DECDE6D73A4A0F98196C622B2F7221,Bredowstraße,
42550029_42560030.02,04869,Wilhelmshavener Straße,V,G,STRA,B,Mitte,Moabit,0,42550029,42560030,197.27,20141204,57166BFF8C0547759F01798295F9F887,Wilhelmshavener Straße,
42550009_42560009.02,00727,Bremer Straße,V,G,STRA,B,Mitte,Moabit,0,42550009,42560009,102.09,20141204,8174E744425C4D7AB65DD29DCFC08CD7,Bremer Straße,
42550008_42560017.02,02257,Jonasstraße,V,G,STRA,B,Mitte,Moabit,0,42550008,42560017,102.99,20141204,76CEB494E9894DA0A47E9E3DD187EEBE,Jonasstraße,
42560009_42560017.02,05412,Bugenhagenstraße,V,G,STRA,B,Mitte,Moabit,0,42560009,42560017,80.86,20141204,BC6F09D3CEDE402ABBCBD8E25FAB787A,Bugenhagenstraße,
42560017_42560007.02,05412,Bugenhagenstraße,V,G,STRA,B,Mitte,Moabit,0,42560017,42560007,47.54,20141204,977DB67016CE4256BF9EE33D68F5CC70,Bugenhagenstraße,
